,LLC-store-misses,instructions,ref-cycles,LLC-loads,bytes,LLC-load-misses,blocks,cycles,LLC-stores,pkg_pwr,ram_pwr,power
0,8734,434918440,643882679,4467389,0,134665,0,518734770,191951,28.59,5.66,93.4
1,174,328098497,509603460,3741346,1347584,21722,2632,479502978,200956,28.11,5.32,110.4
2,267,381190223,602084199,4511125,483328,10814,944,539332247,225912,28.24,5.26,93.3
3,172,308602778,487407653,3525885,0,8962,0,414010310,159354,25.56,5.11,93.3
4,13802,446922202,554309775,3526580,0,169056,0,433167664,140532,26.03,5.69,93.3
5,779,378463878,640797728,4474240,0,18334,0,563523497,230902,25.14,5.27,100.3
6,372,265777971,418188048,2717783,0,5188,0,396982634,160211,24.29,5.12,110.2
7,47,261241387,421420608,2839944,512000,3582,1000,396599892,161462,25.28,5.06,104.0
8,125,292416492,460087061,3129335,0,4955,0,422386351,176426,25.56,5.03,103.7
9,8944,432177060,637916714,4152990,0,106513,0,590557728,267067,26.28,5.27,103.3
10,185,332712037,507233834,3266745,0,13273,0,473038444,196484,26.01,5.16,103.1
11,149,284158908,461274463,3271773,0,3749,0,418357320,179944,25.35,5.03,102.5
12,133,253875363,434915365,2801438,167936,5997,328,344933798,117285,23.51,5.06,102.0
13,187,202869727,363559297,2243970,0,1723,0,284190348,107851,23.87,5.06,101.8
14,4957,330907652,473482902,3182106,0,77679,0,384002971,141509,26.36,5.25,101.2
15,2881,408582118,662341678,4465652,0,28928,0,602305537,248749,25.33,5.25,101.6
16,468,244452680,387233492,2346400,0,4795,0,313165682,113556,24.1,5.17,101.6
17,267,296049596,464256680,2694437,196608,3315,384,422251279,137968,23.24,5.09,101.1
18,157,228101203,377355820,2521489,0,2583,0,342947145,140006,24.26,5.03,95.9
19,3430,360240678,536068635,3708507,0,106285,0,501793304,222259,26.61,5.24,95.9
20,1949,312609994,499074880,3692169,0,26437,0,456791744,186826,24.64,5.17,105.1
21,392,284613819,450328655,3264734,0,4814,0,436119567,185616,25.07,5.05,97.5
22,399,253342222,415437481,2919322,167936,2097,328,393326814,183295,25.18,5.01,97.3
23,392,287915826,461830201,3046696,0,2983,0,437248576,183246,23.58,4.95,97.3
24,6178,372902090,518819466,3644320,0,88786,0,477569192,194031,26.27,5.29,97.2
25,2329,286958403,444337725,3004794,0,10962,0,435486268,177189,25.45,5.18,102.4
26,415,278589661,464902283,3170980,0,4977,0,413119985,169474,24.79,5.09,102.0
27,333,306006220,522058203,3707135,225280,2917,440,452358920,170323,24.55,5.03,101.7
28,289,267775480,420690983,3120680,0,5218,0,401381731,165981,24.96,4.99,101.1
29,5196,363887088,546255355,3698374,0,86917,0,502366295,199774,26.78,5.22,100.7
30,183,277220053,476729818,3254121,0,25070,0,407428449,179441,25.53,5.17,100.8
31,54,258332323,434826488,2727277,0,7532,0,390229906,138320,23.32,5.1,100.8
32,169,257065316,403562728,2705676,167936,5054,328,379722871,146947,25.4,5.11,100.2
33,108,350531358,580709185,4032554,24408064,2222,47672,524871298,200194,24.15,5.03,100.2
34,7869,360702852,530186127,3841819,0,70139,0,465298119,195309,25.99,5.29,99.7
35,1004,335731376,532958066,4025633,0,78047,0,509550974,221485,26.58,5.23,100.3
36,249,281251713,454064780,3296437,0,5823,0,434574370,185858,25.36,5.11,100.0
37,82,229747945,381562004,2567509,425984,3000,832,350299960,147250,24.24,5.05,99.7
38,91,296064580,503902739,3517448,0,2054,0,460774366,165529,24.42,5.02,99.6
39,8592,264374179,384725870,2349513,0,80963,0,290973178,108906,25.03,5.3,99.4
40,885,478711881,708478426,4759425,0,78813,0,660628189,277029,25.19,5.32,99.8
41,137,243027910,396224508,2680143,0,5867,0,379608271,163457,24.53,5.09,100.1
42,98,290448734,472502521,3363558,167936,3569,328,439714608,169529,25.64,5.09,99.9
43,97,283482500,484006013,3111132,0,2476,0,380798952,157312,23.9,5.0,99.5
44,12604,379612322,511055778,3502080,0,195897,0,463294210,125367,25.98,5.46,99.1
