,LLC-stores,instructions,bytes,blocks,LLC-loads,LLC-load-misses,ref-cycles,cycles,LLC-store-misses,pkg_pwr,ram_pwr,power
730,19613,175942807,0,0,917988,319058,191474371,159462223,7225,43.1,7.55,136.7
731,96422,214958685,0,0,1229832,377745,253123414,225520930,21178,43.16,7.47,136.6
732,66775,120907505,0,0,904372,235742,200671956,143632618,15155,43.23,7.53,136.7
733,43400,123805356,167936,328,938724,258507,190108553,149290342,17401,43.11,7.5,136.7
734,71242,281628360,20369408,39784,1242281,343375,334255558,285562644,28875,43.03,7.51,136.8
735,56341,112854960,0,0,840038,236566,187936774,164417608,14702,43.08,7.52,136.7
736,65718,224220990,0,0,1402322,400870,288027560,230898723,21196,43.1,7.51,136.7
737,37467,115151969,0,0,902814,268147,185154349,80353687,10661,43.29,7.57,136.7
738,58193,211754427,454656,888,979798,380740,260609573,187766449,14083,43.11,7.49,136.7
739,63119,129741785,0,0,779785,383768,178279170,172961776,14062,43.19,7.48,136.7
740,49431,176187530,0,0,885276,327317,192106244,173355919,7405,43.17,7.5,136.7
741,100503,360086979,0,0,1879109,701272,336636112,282706485,32180,43.12,7.51,136.7
742,53948,121175160,0,0,789385,226154,190441264,135624508,14961,43.2,7.48,136.7
743,73834,218726090,167936,328,998146,357519,289893774,194047225,16984,43.09,7.51,136.7
744,38852,155263185,28672,56,1043810,441221,199040034,179661945,12167,43.18,7.48,136.7
745,36539,153496388,0,0,975550,311735,229742093,165793015,6947,43.01,7.49,136.7
746,78938,224204198,0,0,1328288,502797,291755348,247395083,22551,43.14,7.53,136.7
747,42905,164241047,0,0,1069226,367735,220855730,175374587,8255,43.21,7.49,136.7
748,43666,181041796,196608,384,1130965,417898,282694359,182574376,7294,43.12,7.48,136.6
749,32298,189151921,0,0,1040724,456854,222954390,183648092,5277,43.19,7.53,136.7
750,52165,202081017,0,0,903879,328061,205547923,139738121,11604,42.99,7.51,136.7
751,92877,327019309,0,0,1796298,699726,330338863,287852514,34178,43.23,7.54,136.7
752,46329,123902938,0,0,975725,282916,209200460,146611172,11689,43.32,7.5,136.7
753,55702,234080863,167936,328,1084240,373851,281594658,199244647,9807,43.16,7.46,136.7
754,40606,237501734,0,0,914521,366785,225871887,206247718,8590,43.23,7.53,136.7
755,54145,128332989,0,0,841433,359301,198702504,172464893,8541,43.05,7.46,136.7
756,91512,185741071,0,0,1295026,508650,274447491,186621774,21451,43.19,7.53,136.6
757,45398,128162753,0,0,855983,283731,197600374,134759457,8661,43.25,7.53,136.6
758,54142,175304864,196608,384,1121843,407029,273015722,193143996,27893,43.04,7.52,136.6
759,45019,308017962,0,0,1522079,586802,310392340,258488575,7081,43.16,7.52,136.7
760,50728,179932899,0,0,807239,380752,186795536,169129776,5724,43.04,7.46,136.7
761,55172,217326110,0,0,1258783,467133,270671647,207614346,18138,43.21,7.5,136.6
762,58232,107792951,0,0,973882,340937,194991234,111438237,12696,43.24,7.45,136.7
763,47933,131641092,167936,328,611743,335699,184448543,171069916,7292,43.21,7.52,136.6
764,45129,249389428,0,0,1213095,490062,302612462,204610480,10718,43.17,7.51,136.7
765,39346,205666576,20615168,40264,1206835,440052,233699606,196487426,9228,43.02,7.48,136.7
766,54344,268631866,0,0,1517068,433260,295355097,224375967,22260,43.09,7.48,136.7
767,42287,143370327,0,0,986301,360245,209464069,181141096,10630,43.18,7.5,136.7
768,31001,203954805,425984,832,905290,374930,243196686,201443351,5558,43.07,7.48,136.7
769,62626,217807470,0,0,1149189,427777,300511971,206261130,32616,43.28,7.56,136.7
770,46145,102335336,0,0,921712,343810,177728175,132272839,13206,43.09,7.5,136.7
771,104018,321537964,0,0,1778806,670825,345158112,291894516,22391,43.05,7.52,136.6
772,32334,115650572,0,0,941054,274479,154862165,113568851,8108,43.16,7.5,136.6
