,LLC-store-misses,instructions,ref-cycles,LLC-loads,bytes,LLC-load-misses,blocks,cycles,LLC-stores,pkg_pwr,ram_pwr,power
1373,788,103258698,156925380,760854,0,12561,0,108678220,32184,40.29,5.04,128.8
1374,457,164701208,221633101,1082237,0,7961,0,161085752,54736,40.07,5.01,128.7
1375,267,113271677,131352808,716936,0,1341,0,114162379,20265,40.09,4.98,128.7
1376,316,125271172,153263830,762656,139264,1925,272,132188805,57469,40.09,5.34,128.8
1377,4195,230151418,290581347,1234611,0,91865,0,231125596,88810,40.06,5.2,128.8
1378,1521,144123075,188960518,869730,28672,7875,56,166237732,36205,40.13,5.18,128.7
1379,524,90123322,112244310,756276,0,3495,0,79262259,52330,40.07,5.0,128.5
1380,147,151566059,185430149,845417,0,1446,0,141398077,51758,40.08,5.04,128.6
1381,76,111433830,143593080,736475,167936,1682,328,125164004,44363,40.04,5.32,128.7
1382,800,241626248,255628528,1315435,0,93648,0,196274556,103214,40.13,5.21,128.8
1383,1442,120429969,170778452,861470,19468288,12084,38024,132684364,61713,40.09,5.12,128.7
1384,267,156061474,224518880,1125682,0,8547,0,113191062,31445,40.06,5.04,128.7
1385,77,110896301,155964892,769964,0,4170,0,132564849,44393,40.06,4.95,128.7
1386,56,106171508,145432133,738319,196608,2092,384,102728593,43624,40.1,5.29,128.7
1387,3257,201709226,246065605,1592335,0,98063,0,169660978,49627,40.19,5.44,128.6
1388,1357,180026415,227182999,1276995,28672,89353,56,185980533,79141,40.15,5.2,128.6
1389,739,102474875,148468466,757549,0,11580,0,106995222,27547,40.12,5.07,128.6
1390,1269,117402155,137397114,790695,0,4162,0,121299015,25414,40.17,5.09,128.6
1391,175,144165166,184071713,1007419,598016,1568,1168,151035105,41999,40.25,5.36,128.5
1392,10108,204935336,232119861,1159914,1232896,97486,2408,199865103,86985,40.41,5.35,128.6
1393,460,132543796,155921093,930622,0,24187,0,139616227,32175,40.38,5.0,128.7
1394,564,111001902,137130749,892350,0,3052,0,111549942,55380,40.2,5.04,128.7
1395,199,131414315,186365615,947131,0,1608,0,162180822,46124,40.15,4.97,128.6
1396,91,87790865,133172570,748638,139264,4355,272,98783770,18456,40.14,5.28,128.7
1397,5251,169147336,195801464,1241829,0,47127,0,160629651,57317,40.11,5.21,128.7
1398,2520,218341293,243222910,1086855,0,61888,0,231690582,87952,40.12,5.08,128.8
1399,129,121603388,148673455,696255,0,4307,0,141510620,34463,40.41,4.99,128.8
1400,143,96923975,152865064,685538,0,1009,0,85527220,56258,40.43,4.99,128.7
1401,168,155873945,179387759,784724,139264,1673,272,176181789,84656,40.19,5.2,128.7
1402,2452,205337381,242814874,1071484,0,87837,0,186475045,82976,40.24,5.17,128.8
1403,856,122439708,158028874,797517,0,17819,0,150126753,57729,40.24,5.1,128.8
1404,727,179067432,228373062,902550,0,4826,0,203723231,79071,40.41,5.06,128.8
1405,161,112482867,140226689,790499,0,1760,0,130704944,36772,40.34,4.97,128.8
1406,76,120429095,150813961,772337,139264,931,272,136570869,46201,40.06,5.41,128.9
1407,814,192490819,246261517,1150429,0,74036,0,182193860,73823,40.09,5.19,129.0
1408,135,147558099,207883334,1227101,0,22856,0,128437194,46740,40.27,5.24,128.9
1409,28,88830835,140205451,675291,0,3228,0,101893835,43152,40.31,5.03,128.9
1410,25,133405260,150922480,818171,0,3485,0,131748761,19191,40.19,5.0,128.9
1411,115,135124531,179629872,971998,139264,4835,272,156159506,66892,40.05,5.27,128.9
1412,6355,147006921,173581697,1314227,0,69790,0,156977979,37068,40.08,5.21,129.0
1413,905,119299446,158388707,755614,0,16924,0,106957145,51903,40.24,5.07,129.0
1414,289,170894418,207146452,1135723,18980864,6129,37072,149621760,38694,40.26,5.09,128.9
1415,101,117952734,147429655,839537,0,4376,0,127355076,35906,40.08,5.1,128.9
1416,451,122281433,158628503,723778,282624,9865,552,101146586,62233,40.08,5.5,129.0
1417,6392,236352926,242614595,1095178,0,122572,0,148562982,52403,40.26,5.33,129.0
1418,2453,186187346,227586338,1350735,0,34101,0,143215467,41505,40.25,5.13,129.0
1419,214,98742608,144906877,617484,57344,3971,112,115642335,34038,40.21,5.03,128.9
1420,216,119162725,161162240,887618,0,2468,0,119032256,27379,39.94,4.96,128.9
1421,179,137973357,175108679,906310,425984,1977,832,136092186,52511,39.97,5.26,129.0
1422,7486,215589374,226897937,1323590,0,62188,0,208154738,52633,40.2,5.35,129.0
1423,675,121856186,174693472,930901,0,24683,0,126347086,39147,40.23,5.02,128.9
1424,356,123906903,162652993,685227,0,3200,0,141954288,56295,40.23,5.06,129.0
1425,68,99456265,155194021,1003456,0,4267,0,109296152,34824,40.17,4.95,128.9
1426,53,106171477,130532936,670619,139264,1325,272,123038939,35637,40.13,5.25,129.0
1427,414,154721900,183350796,1006841,0,37653,0,124030113,45094,40.14,5.16,129.0
1428,1755,194734172,207375384,1453230,0,58987,0,196588217,62377,40.16,5.08,129.0
1429,83,110912903,130831735,792054,0,7479,0,124696748,19639,40.15,5.09,129.0
1430,133,119830710,144657255,902081,0,2429,0,131354166,32538,40.12,4.97,128.9
1431,207,140215408,169522756,849988,167936,1507,328,158688115,47257,40.15,5.5,129.0
1432,14457,245573383,253968987,1240459,0,176629,0,209920306,87423,40.22,5.29,129.0
1433,1715,116583792,160137683,805121,0,25201,0,120472596,47547,40.23,5.24,129.0
1434,458,143441787,229285042,1102242,0,9593,0,134415249,63058,40.25,5.06,129.0
1435,240,115305134,162161019,801633,0,1378,0,116093573,32787,40.25,4.97,128.9
1436,208,85731706,146603301,663796,139264,1366,272,93041877,34836,40.39,5.38,129.0
1437,484,256221356,299319952,1378090,0,126005,0,257483884,90030,40.28,5.17,128.9
1438,288,113280534,155165093,912059,0,11451,0,97123903,21406,40.25,5.2,129.0
1439,189,109817389,137677016,765156,0,3586,0,108797035,36301,40.18,5.02,128.9
1440,521,106426337,154412242,804423,0,2554,0,97936537,38117,40.22,5.0,128.9
