,LLC-load-misses,ref-cycles,bytes,LLC-store-misses,blocks,LLC-loads,instructions,cycles,LLC-stores,pkg_pwr,ram_pwr,power
0,25386,201389490,0,96,0,867673,136212613,123837404,37986,23.31,5.43,111.6
1,6163,200499547,540672,184,1056,910919,143149317,162800815,59217,22.28,5.14,99.2
2,5133,280915944,0,1277,0,1117883,212993399,253219304,72919,22.32,5.16,93.1
3,2078,198517756,0,124,0,1039805,130135568,140948809,20743,22.36,5.1,93.1
4,6841,240220313,0,3199,0,972625,156620554,156754071,58815,22.33,5.12,93.2
5,10841,283227467,28672,774,56,1194258,172514684,163983984,57752,22.38,5.2,93.6
6,6134,217854201,4067328,70,7944,860800,157948888,184033019,43830,22.41,5.11,93.7
7,4568,233744887,0,89,0,980133,174937970,203571055,52936,22.41,5.06,93.8
8,2630,235316533,0,67,0,1149939,170061493,173643524,29860,22.36,4.99,93.8
9,5032,209917174,0,3297,0,1038295,150283097,157781492,36131,22.36,5.12,93.7
10,130362,398180088,0,8364,0,1774979,304406778,328201572,85132,22.51,5.23,93.6
11,35743,230074500,110592,762,216,893886,157877629,210228517,74321,23.19,5.34,93.9
12,11855,218730359,0,182,0,796942,170155903,173379222,61580,22.3,5.13,94.0
13,6089,211557353,0,75,0,1044414,141916613,152451050,45570,22.26,5.12,94.0
14,11553,212911369,0,186,0,955532,161571083,195170360,39131,22.31,5.15,94.0
15,8656,243485798,0,261,0,1039980,180852323,203512315,42282,22.31,5.08,94.0
16,8624,218168213,884736,7027,1728,944115,181309122,190782538,87442,22.32,5.14,94.0
17,8860,248047861,0,200,0,1044859,175256295,184270920,43016,22.26,5.1,94.0
18,12982,245209406,0,3805,0,1073418,205987501,187293169,76800,22.53,5.2,94.0
19,5026,214284387,0,1126,0,1090006,157606015,176585106,43318,22.28,5.09,94.0
20,3061,161754127,0,449,0,849510,114094648,130843688,19464,22.24,5.11,94.0
21,5021,234724437,225280,321,440,982961,176970071,201378253,35548,22.37,5.06,94.0
22,3353,196907001,0,99,0,700013,139142000,152256011,54401,22.25,5.06,94.3
23,1234,182546350,0,67,0,726667,122582264,131040927,34782,22.22,5.03,94.3
24,4393,256234663,0,85,0,1119006,170639622,176923542,67510,22.33,5.08,94.2
25,1320,194166172,0,198,0,836436,114569397,86714870,54491,22.22,5.05,94.2
26,15413,266082077,110592,4880,216,1343600,202174914,220298423,57729,22.24,5.2,94.1
27,5139,190274913,0,2568,0,874016,150871577,140311368,44274,22.27,5.18,94.1
28,8380,234393478,0,633,0,1012659,174164915,129101821,56321,22.08,5.04,94.1
29,6278,190949163,0,358,0,881097,142154576,156019429,24414,22.21,5.12,94.1
30,12747,254539127,0,3782,0,1161367,192080193,192220676,58254,22.13,5.18,94.1
31,11483,206545596,28020736,4843,54728,1046594,163592418,171850414,56077,22.29,5.15,94.0
32,3412,156747324,0,532,0,720484,102652585,124982439,38711,21.96,5.03,94.0
33,2373,227869642,0,488,0,1132514,144993519,178855844,48184,22.15,5.07,94.0
34,3894,164314028,0,474,0,622378,104497193,118965772,39655,22.01,5.03,93.9
35,4626,231866589,0,702,0,988133,165846879,196860334,62577,22.18,5.1,93.9
36,2515,171996351,167936,184,328,704504,133925349,148440973,23523,22.14,5.04,93.9
37,1569,204784005,0,115,0,1000416,126631063,133412065,58613,22.22,5.05,93.9
38,4142,182722502,0,839,0,847376,138246512,113857174,67349,22.05,5.06,93.9
39,2350,224278242,0,444,0,997145,157326199,206079754,57743,22.12,5.03,93.9
40,6905,183035854,0,402,0,868906,136713239,170103832,53627,22.22,5.26,93.9
41,11403,292455152,6791168,181,13264,1326854,217305809,212100358,45559,22.15,5.09,93.8
42,1755,164244514,0,157,0,765637,125292535,130517601,40894,22.05,5.03,93.9
43,1584,198534682,0,134,0,912357,122994286,164270625,54029,21.94,4.98,93.9
44,5916,173183462,0,129,0,922397,129753677,149905238,25750,22.15,5.07,93.9
45,3710,181160715,0,303,0,987794,135511700,131080621,44924,21.99,5.03,93.9
46,3349,160774147,167936,801,328,713457,102736843,132648060,42808,22.01,5.09,93.9
47,1595,217602326,0,631,0,867041,136182861,177902242,66477,22.01,5.01,93.9
48,5152,177820718,0,401,0,815844,116613746,103600211,34976,22.08,5.03,93.8
49,1060,172296908,0,397,0,836632,118994947,113121316,49727,22.1,4.98,93.8
50,2623,222739947,0,471,0,935559,148291861,178572717,39521,22.19,5.02,93.8
51,2320,179748022,110592,361,216,772992,127234370,150339369,42431,22.02,5.01,93.8
