,LLC-store-misses,instructions,ref-cycles,LLC-loads,bytes,LLC-load-misses,blocks,cycles,LLC-stores,pkg_pwr,ram_pwr,power
0,9312,275808627,350476209,1590433,0,178425,0,295994482,95613,23.72,5.66,120.0
1,5353,249017543,334822736,1475179,225280,73583,440,235753404,69837,22.9,5.37,95.6
2,9234,324102616,440310299,2334913,946176,106650,1848,342428263,59631,22.71,5.43,95.4
3,648,177815208,255066080,1064205,0,20614,0,235324629,75086,22.41,5.3,95.2
4,29,177377951,234357211,986155,0,34240,0,180109572,37376,22.23,5.16,95.0
5,7717,288311347,374790673,1880900,122880,113010,240,297883097,43287,22.71,5.38,94.8
6,1323,136664444,227239838,1039996,45056,8261,88,145473650,55777,22.33,5.22,94.8
7,7137,216354400,280013747,1246268,0,90680,0,247610393,52038,22.33,5.31,94.7
8,242,166640899,253753419,1027734,0,5405,0,149284284,65768,22.14,5.09,94.6
9,61,119585185,193509654,849422,0,3691,0,128173873,53809,22.25,5.1,94.5
10,5135,246123252,329029130,1636208,143360,69119,280,223893782,75367,22.56,5.27,94.4
11,60,156667038,258201247,1176832,24576,55300,48,207797100,51345,22.37,5.28,94.6
12,115,129783222,186816348,795031,0,16929,0,131549802,43087,21.98,5.2,94.5
13,3971,217355959,332687352,1662428,0,76630,0,229397956,47255,22.27,5.37,94.4
14,3502,114190601,194485925,1086336,0,23872,0,93411471,32919,22.09,5.31,94.3
15,11389,335117968,391287519,1592226,0,217130,0,313813668,107067,22.43,5.42,105.4
16,2182,155854525,232432808,657173,167936,11626,328,186182273,66815,22.02,5.24,120.9
17,286,164363479,242713387,927675,0,15761,0,181919180,32542,21.89,5.16,94.4
18,105,125255562,200647683,795748,0,2015,0,167261520,47392,22.01,5.07,94.4
19,40,93673956,186680008,729192,0,3659,0,88604659,45344,21.88,5.07,94.5
20,13966,330286349,472422656,4584502,0,362398,0,380392770,75535,23.29,5.51,94.5
21,452,134130044,205180346,781108,253952,25333,496,147401411,60712,22.03,5.25,94.5
22,2642,154228659,251760059,1078791,573440,65068,1120,199166015,69292,22.0,5.25,113.5
23,254,117951328,184943005,687777,0,6901,0,129446794,53825,22.1,5.09,95.5
24,44,138076264,219100926,870419,0,4647,0,166093987,42600,21.83,5.05,95.3
25,5281,203034080,270230096,1178436,0,103044,0,229904103,54473,22.32,5.3,126.6
26,92,165046468,282947727,1186474,24260608,15454,47384,207567244,65211,22.15,5.16,100.7
27,122,103400055,179204517,808682,0,6780,0,90890807,41589,22.08,5.07,94.5
28,234,111157302,179836134,912076,0,9021,0,139733556,31070,23.49,5.34,94.6
29,3016,173931179,247422015,1249539,0,229797,0,161873743,60511,33.18,6.27,94.5
30,15345,238603838,307661757,1237077,0,129605,0,278621819,90172,22.4,5.43,94.4
31,675,126629690,238913740,982526,1523712,12807,2976,146689204,57630,21.98,5.16,127.7
32,154,129251634,183566780,803578,0,5556,0,172898008,56586,22.17,5.09,127.6
33,111,122650807,217232901,934296,0,3866,0,131555569,47572,21.98,5.05,127.5
34,94,98475508,173276454,828532,0,5738,0,76831147,33380,22.13,5.11,127.9
35,7820,188525324,277376223,1687231,0,72872,0,187121363,71599,22.32,5.24,128.3
36,299,106809768,180610971,846433,167936,6151,328,139127365,42989,22.13,5.14,128.8
37,82,115782677,174982847,706522,0,2512,0,115375433,38035,21.95,5.02,129.2
38,713,132476805,206874047,873246,0,2830,0,188921412,51626,22.09,5.09,129.2
39,385,121153997,186907147,603363,0,2371,0,162096125,47926,21.91,5.09,129.2
40,11723,320322969,389095453,1945022,0,115713,0,291583941,105769,22.76,5.41,129.2
41,539,110808456,184424244,753283,282624,4989,552,136439132,30603,22.05,5.15,129.3
42,124,145863237,220095379,1006839,0,4713,0,163459122,53297,22.04,5.03,129.3
43,148,114176683,157016753,821628,0,897,0,136638853,20487,22.12,5.03,129.3
44,6151,220720721,307099925,1731811,0,269353,0,174015256,53225,32.93,6.56,129.3
45,5427,372546448,425273559,2494558,0,184035,0,331731854,80295,29.15,5.74,129.4
46,461,107420997,219729300,1177425,1486848,17763,2904,137126000,57854,22.38,5.26,129.8
47,9206,225599561,281497909,1188488,0,83796,0,240762659,72841,22.07,5.19,130.1
48,2026,160318193,219181499,1369052,0,52396,0,157694932,53712,22.83,5.36,130.2
49,737,116372178,210939493,1225944,0,11048,0,148291937,62049,22.28,5.21,130.2
50,5628,236746277,305299403,1566043,0,82085,0,240699388,59096,22.47,5.3,130.2
51,1753,154768024,219406637,857294,913408,66033,1784,168997659,49012,31.66,6.08,130.2
52,8993,220509194,276669027,1456395,57344,68914,112,224834228,76524,22.58,5.28,130.2
53,548,159768664,262056920,1322133,0,17803,0,134613669,63174,25.66,5.62,130.2
54,849,147532772,191147857,1106697,0,55201,0,120812966,18612,36.62,6.31,130.2
55,7400,317945686,415405196,2265625,0,131931,0,316370395,134766,23.0,5.5,130.2
56,6818,274346565,363712372,1597415,23093248,78749,45104,284242646,126439,23.09,5.43,130.4
57,211,161942485,233431310,1007288,28672,12508,56,147104430,33362,22.22,5.23,130.6
58,87,147457124,214298066,1022629,0,5459,0,185381288,35942,22.28,5.13,130.9
59,949,123145918,172805621,796177,0,18127,0,141362258,29563,25.98,5.64,131.1
60,5412,337435625,337847621,2142840,0,143109,0,286098510,95076,40.06,6.47,131.3
61,669,164911519,240666310,1446139,856064,42019,1672,177723142,73523,38.95,5.27,131.5
62,1727,138724419,151094982,911942,0,55639,0,141983232,40906,39.14,5.4,131.4
63,4706,135047540,184889557,936757,0,218396,0,148019820,55380,40.58,7.1,131.3
64,9408,139844539,208453898,931571,0,244799,0,158763566,54989,40.61,7.1,131.3
65,7417,219669192,264580355,1327996,0,366494,0,180150743,46618,40.59,7.14,131.2
66,8864,151000603,187650710,1103038,139264,253089,272,159896646,33384,40.22,6.89,131.2
67,329,170828510,213363314,1062892,0,33582,0,191751104,42132,39.87,6.37,131.2
68,109,101878250,151835594,835744,0,12763,0,107517230,27269,39.85,6.36,131.1
69,322,125958051,158977547,842246,0,9939,0,140284184,41003,39.86,6.42,131.3
70,24583,265348826,299794545,1515399,0,187554,0,238005891,100087,39.91,6.6,131.4
71,723,145804412,180397605,1182226,139264,37697,272,173490755,55110,39.88,6.53,131.6
72,317,129825361,153348192,768031,28672,15378,56,143029007,51425,39.82,6.36,131.7
73,231,118623809,159971811,762957,0,11569,0,121264922,49807,39.86,6.34,131.8
74,3209,142332946,166266654,835069,0,178420,0,139316305,40796,40.41,6.97,131.9
75,21673,199004088,255437143,1550002,0,391631,0,94904181,52310,40.44,7.16,132.1
76,9661,135501453,192033715,1205848,225280,397979,440,180818911,51654,40.31,7.28,132.2
77,682,148335183,180250958,813971,0,120351,0,175119763,51022,39.91,6.95,132.4
78,493,128082675,179556678,887666,0,42620,0,161123038,56198,39.91,6.89,132.4
79,665,120820619,145656287,824374,0,42140,0,131224438,50360,39.79,6.94,132.5
80,9335,222767670,283188039,1278269,0,204607,0,218094672,91569,39.74,6.97,132.6
81,1172,182873672,218390051,1024756,225280,60524,440,181641284,65852,39.75,6.94,132.5
82,626,109890714,140877328,811000,0,44464,0,138356857,53740,39.7,6.94,132.4
83,1452,152655882,218626395,875795,0,49930,0,160761302,80221,39.7,6.92,132.3
84,3336,151911065,187650666,842454,0,93873,0,175239208,46269,39.79,7.02,132.1
85,11266,228585170,284289396,1452057,0,527794,0,232468650,47488,40.29,7.17,132.0
86,8989,164422296,220518460,981069,139264,327811,272,195365827,83697,40.19,7.2,132.0
87,12865,143715261,199709247,816043,23240704,263206,45392,183368558,54250,40.13,7.3,126.3
88,6999,125482257,206116763,916896,0,342588,0,161416904,50905,40.12,7.34,95.1
89,9504,148577233,200999118,807150,0,302014,0,174708629,45426,40.06,7.37,95.0
90,10731,211180554,264200815,1335206,0,376437,0,203478231,88530,39.86,7.18,95.1
91,3279,178744968,226264584,1066849,397312,125038,776,199215461,81261,39.66,7.02,100.3
92,3151,143745434,184892657,888455,28672,129451,56,166901178,36668,39.72,7.01,127.5
93,1167,136518330,179895504,871531,0,100984,0,160906153,63302,39.77,7.06,127.5
94,1392,138709722,187994705,875324,0,102995,0,162834598,30099,39.72,7.04,132.7
95,902,268561242,299632691,1300734,0,310364,0,235084416,90884,39.66,7.07,132.6
96,1795,138389419,206821378,1080925,139264,130969,272,143030875,53379,39.64,7.02,132.6
97,1128,128102654,193194807,903798,0,141514,0,124804476,51522,39.59,7.06,132.5
98,8962,164396054,222064894,1011036,0,415727,0,203403035,49600,40.21,7.18,132.2
99,14240,146901789,201287967,834582,0,199004,0,170931598,58055,40.25,7.2,132.1
100,16428,208089354,287643001,1447481,0,437046,0,219862098,50390,40.24,7.24,132.0
101,4356,145867464,211383410,1014880,167936,305623,328,153407074,43323,40.17,7.31,131.8
102,11472,125184101,187702312,902612,0,257617,0,129346841,49882,40.2,7.34,131.6
103,4475,148265595,192410662,938049,0,338427,0,155919368,29401,40.12,7.38,131.4
104,7458,155502958,218890006,1103793,0,482249,0,179943900,40057,40.09,7.38,131.2
105,13609,210688963,255139500,1406704,0,510660,0,201944072,81650,40.02,7.39,131.3
106,10096,147958694,194168985,870532,139264,370227,272,165191697,43668,40.06,7.4,131.6
107,8142,119764450,167968888,744833,0,364237,0,136493011,35078,40.05,7.43,131.7
108,7663,140007909,190083766,920872,0,295140,0,128941089,46330,40.12,7.43,131.6
109,8812,135200201,233562926,1054923,0,400613,0,134614959,55314,40.11,7.34,131.6
