,LLC-stores,instructions,bytes,blocks,LLC-loads,LLC-load-misses,ref-cycles,cycles,LLC-store-misses,pkg_pwr,ram_pwr,power
0,55971,244263294,0,0,1578665,169887,345748800,223665294,5693,25.45,5.7,115.7
1,82608,308257946,1773568,3464,1709834,67969,407119397,296340673,6401,23.02,5.48,101.0
2,94155,416873966,0,0,2603688,208237,513197446,359854090,16121,23.78,5.65,95.9
3,76137,362000069,0,0,1956045,74650,447720027,352794635,11980,22.71,5.5,96.1
4,87339,347759497,0,0,2135048,203354,445654259,340949802,18769,23.17,5.72,95.9
5,93812,347646354,143360,280,1731917,177826,440387965,327745370,21120,23.22,5.64,96.0
6,120747,567323750,770048,1504,2232569,242597,592045903,447219128,32640,23.64,5.78,96.1
7,118633,520621648,0,0,2259327,268537,577495884,462209994,24267,23.22,5.66,96.2
8,111851,370660691,10924032,21336,1731430,41179,427270293,291461867,38050,23.08,5.63,96.3
9,175650,743590026,0,0,2745683,362807,694359378,624282869,50434,30.64,6.22,96.2
10,153645,768206772,688128,1344,3286738,514952,821113276,610375368,33548,28.08,6.05,112.4
11,161674,661312674,1200128,2344,3027855,331558,775347468,562649352,30468,27.08,6.22,106.9
12,158737,718933627,0,0,2461251,510236,672381669,553341425,48458,37.92,6.58,106.6
13,196590,959811983,0,0,3954158,267712,976269679,743467274,84587,26.57,5.88,127.2
14,160652,731252192,0,0,2463023,408029,671097396,558917214,63434,36.5,6.68,103.5
15,107819,896758290,0,0,3667731,516027,874780625,700760135,33380,31.29,6.01,124.2
16,105573,732444094,512000,1000,2696904,200927,739611541,627031312,22674,26.83,5.92,113.5
17,304950,986172348,0,0,2811733,337829,974936506,809177144,71372,25.87,6.01,104.3
18,191454,857663622,0,0,2280050,425244,843186572,675087438,43301,26.53,6.11,103.9
19,147834,987149733,0,0,2867936,407399,913305084,652055691,47307,40.34,6.89,103.9
20,278596,974917182,0,0,3104961,610379,891471408,781744020,37952,40.12,6.43,131.9
21,207415,1044846927,798720,1560,2517429,319025,902683375,828401002,82737,39.85,6.18,131.7
22,225671,1000212889,0,0,2807866,409073,923617480,796073190,57253,39.83,6.11,131.4
23,195086,1110120980,0,0,2904131,407229,976946552,846173631,122978,39.86,6.06,131.2
24,109813,1014780265,0,0,2905438,388781,888962231,811857695,121544,39.89,6.2,131.0
25,189664,798846668,0,0,2700267,420218,737809036,616521522,110202,39.83,5.93,130.8
26,115433,1414313574,167936,328,3454032,635396,1236403522,1108264335,29413,39.94,6.26,130.6
27,65931,807845670,0,0,2401124,260830,685850641,656795128,228765,39.96,6.19,130.5
28,211410,1299279821,0,0,2976624,606582,1106068381,1002528383,29863,39.93,6.06,130.4
29,397287,1304288685,0,0,3271653,436978,1076644130,938628154,230068,39.98,6.09,130.3
30,161730,1180167136,0,0,2945822,465687,1006784662,887939737,103124,40.03,6.34,130.1
31,130796,1511093842,225280,440,4615068,617389,1266973837,1153399839,132200,39.99,6.2,130.1
32,249351,921351183,0,0,2288367,407955,813128762,660511324,181096,39.96,6.19,130.1
33,147987,1264597788,0,0,2982297,439828,1048187015,954172908,177257,40.0,6.17,130.0
34,206129,869648884,0,0,2065557,366487,806332751,697706065,67337,39.92,5.99,130.0
35,235253,1263229685,0,0,3674260,520989,1116761830,973905296,147720,39.94,6.11,129.9
36,119119,326473860,167936,328,1073626,66535,327330759,297444970,182108,39.8,5.62,129.9
37,186837,1386129103,0,0,3531811,668590,1189568984,1071154137,79999,40.05,6.31,129.7
38,68795,1104829175,0,0,2248387,319050,909309380,826570992,28178,39.96,6.24,129.7
39,178589,1224263684,24477696,47808,3158803,481962,1048693661,980563104,73678,39.94,6.13,129.7
40,97560,639627492,0,0,2451810,429081,607104329,542979182,37646,39.84,5.83,129.7
41,65939,467330453,483328,944,1326040,64992,417159739,394723220,25913,39.75,5.57,129.6
42,349537,1730754226,0,0,3856873,923381,1313072618,1186109170,58110,40.05,6.36,129.4
43,170470,1249972513,0,0,2600043,481674,1025998549,960571776,15199,39.89,6.18,129.6
44,122943,1010744745,0,0,2554732,401787,888941382,798818545,15845,39.82,6.06,129.6
45,144752,1070744076,0,0,2751346,467902,902919594,823517535,94246,39.85,6.17,129.5
46,53665,332060515,167936,328,1629936,327527,325752045,263533654,83732,39.67,5.81,129.6
47,279517,1552324198,0,0,3278188,439287,1277379325,1227281121,63751,39.98,6.37,129.5
48,482647,1577194789,0,0,3447053,641651,1367760447,1291859375,68084,40.01,6.44,129.5
49,314662,1699116551,28672,56,4042776,672921,1355150088,1277376407,93436,40.01,6.4,129.6
50,111922,1306348746,0,0,3093343,612753,1056100245,1008447531,38853,40.03,6.39,129.7
51,255701,1645450017,397312,776,3809312,575037,1357690164,1255183241,49831,40.01,6.33,129.8
52,275372,1693975731,0,0,3831635,718251,1401322359,1326256009,146490,40.0,6.48,129.8
53,80488,1091245740,0,0,2473053,408959,904297754,733639646,23583,39.98,6.36,129.9
54,259475,1643436938,0,0,3469176,626792,1344034634,1216755519,260212,40.04,6.47,129.9
