,LLC-load-misses,ref-cycles,bytes,LLC-store-misses,blocks,LLC-loads,instructions,cycles,LLC-stores,pkg_pwr,ram_pwr,power
0,26710,478437726,0,199,0,3625404,287709219,424777585,233610,27.41,5.51,114.8
1,11825,502372247,368640,123,720,4151308,333992028,479383302,263061,29.52,5.22,93.4
2,10963,591688764,0,187,0,4547190,405642389,542937927,256346,27.51,5.14,93.3
3,5974,642582619,28672,236,56,5051373,419406007,611492036,334285,27.65,5.16,93.5
4,156290,630886509,2007040,6014,3920,5643202,425359966,543600706,324855,31.66,5.55,93.6
5,97208,713529454,0,3052,0,5927160,467984281,637637612,363070,29.29,5.31,93.7
6,13222,715809769,598016,3349,1168,5802948,480290423,680967879,394697,29.77,5.29,93.6
7,7789,530865677,0,392,0,3849869,330502944,498331693,273056,25.72,5.16,93.6
8,8374,542431245,229376,318,448,4118812,341396089,507347693,272138,26.27,5.2,93.7
9,125858,658449206,0,6260,0,6140589,438060149,615634924,349812,28.89,5.57,93.6
10,21397,596771983,0,682,0,4438054,398349425,541079665,255711,27.01,5.24,93.6
11,25450,611026484,253952,555,496,4767566,397867748,566685547,276420,27.66,5.22,93.5
12,112132,537410007,0,11991,0,4178929,358104560,490847293,300693,30.78,5.37,93.6
13,56458,741685148,28672,2675,56,5800491,467683831,678311202,406986,29.15,5.4,105.7
14,37048,574735514,0,1743,0,4498220,367772757,524676418,250417,26.98,5.28,106.2
15,16287,618557923,0,408,0,5046959,406514148,578738415,319851,27.74,5.13,106.0
16,13757,643672259,311296,454,608,5168300,418835841,586357527,331920,27.98,5.11,105.6
17,114263,505412551,0,9727,0,3521294,366004853,469816428,274424,29.38,5.38,99.9
18,46696,606574926,57344,1010,112,4463985,404720725,565754399,278409,27.71,5.3,109.1
19,13567,502774063,0,2332,0,3993582,326989513,459504397,237148,26.08,5.17,102.4
20,7567,636354356,0,328,0,4656143,408470460,584943342,276526,24.58,5.08,102.2
21,4774,510280496,225280,422,440,3870083,320592659,480411244,254521,25.92,5.09,102.1
22,6848,447805424,0,619,0,3278455,294206575,388076492,169576,24.78,5.06,102.5
23,4497,526930217,57344,303,112,4271403,322488314,483782679,268995,26.33,5.02,102.5
24,14614,476571048,0,630,0,3360914,304191503,476137333,234050,25.47,5.1,109.1
25,106885,648081074,143360,1914,280,4876323,419503509,586597635,268248,26.45,5.49,103.8
26,208495,535003108,1314816,23831,2568,3910382,422282629,464008388,255498,34.77,6.12,103.2
27,41620,574109080,0,3003,0,4377861,372610306,524598870,287983,27.57,5.44,103.2
28,68581,712977513,24207360,1428,47280,5103525,480489555,643272168,337698,25.33,5.29,103.2
29,32982,435322922,1548288,586,3024,3326777,290332861,426208820,242067,28.86,5.2,103.4
30,13379,628331390,57344,550,112,4816428,395925707,611322523,328822,27.78,5.1,93.4
31,108188,686276558,569344,10927,1112,4935212,477009194,655224357,345164,28.66,5.4,93.3
32,103348,691009645,0,3713,0,5082368,492701381,656040623,320412,27.73,5.42,93.3
33,19931,611993645,172032,571,336,4755839,365198410,552992658,295122,27.13,5.2,93.3
34,44986,565970475,0,302,0,4334080,349224789,520109300,281676,26.62,5.14,93.2
35,7176,519723033,0,221,0,3849188,308980783,453847053,259187,25.74,5.04,93.2
36,6915,615552047,684032,508,1336,4746578,386200866,591055837,291209,27.22,5.09,101.9
37,4258,506346744,0,247,0,3915994,303689145,448767335,243978,25.79,5.02,132.3
38,10038,434275803,143360,129,280,2901341,266325770,406383921,186579,24.23,5.03,105.7
39,12036,439438693,0,155,0,3303706,262723998,393824680,188873,24.98,5.04,93.1
40,11855,650845405,0,113,0,4898523,409883994,560550371,279494,25.33,5.05,93.1
41,81384,502800064,339968,5937,664,3994096,342826091,432194185,210360,33.53,6.15,93.1
42,125984,441004032,0,6559,0,3947939,355502803,401981498,185526,34.23,5.84,93.1
43,37488,737264203,0,856,0,5412311,486620557,694804079,363371,26.22,5.28,93.1
44,10808,501060532,57344,1203,112,4442991,321894556,474295085,286995,29.95,5.28,93.0
45,99602,582709823,0,7684,0,3920325,409520636,519764022,274221,27.41,5.42,93.0
46,124628,775241980,454656,6563,888,6213535,516830326,632469518,336060,29.58,5.59,93.0
47,38750,635160408,0,1261,0,5099366,400916516,582716469,328497,29.02,5.32,93.0
48,92289,606827087,0,7252,0,4410809,456643724,542380383,261470,28.47,5.4,92.9
49,67721,771842955,57344,3532,112,6322760,502155951,686668315,396807,33.25,5.97,92.9
50,28418,407475224,0,2080,0,3519730,288885291,398368063,249207,35.2,5.82,92.9
51,123064,688345559,253952,6628,496,5528827,468899852,632592637,322132,32.26,5.9,92.8
52,110114,720267092,0,4722,0,6549488,513350360,625568341,361700,40.16,6.71,92.8
53,50720,456150519,0,1963,0,4038089,312716011,437840124,272990,34.42,5.8,92.7
54,163262,729454557,28672,5080,56,5977272,505647237,675466026,380527,37.86,6.45,92.7
55,132150,642605765,0,2284,0,5019823,420375693,541379572,338980,29.36,5.43,92.7
56,111767,647402307,1744896,9397,3408,4937490,462064188,576846410,288430,27.86,5.58,92.7
57,19488,494966985,0,999,0,3491735,315070938,432500482,217258,25.98,5.26,92.6
58,28502,552108881,57344,185,112,4280330,345802724,516998237,226961,26.86,5.49,92.6
59,109351,638005901,24473600,1555,47800,5238638,461450484,591049738,328154,40.27,6.66,92.6
60,58701,365113161,1818624,1820,3552,3116393,255535831,361362759,191614,39.55,5.68,92.7
61,150909,684263598,0,6501,0,5538264,459708880,583982195,332837,30.1,5.53,92.7
62,48725,650196418,0,1487,0,5200693,412183035,593864458,312051,28.3,5.4,99.1
63,12215,472437691,0,503,0,3664863,319355856,471089142,220088,25.58,5.21,110.1
64,8237,447769203,1761280,252,3440,3182709,282106118,390083145,202718,25.72,5.15,102.9
65,17671,554403071,774144,837,1512,4497581,372528006,539030104,285097,35.61,5.24,103.0
66,109835,661420542,0,7827,0,4739834,473647517,626368113,349673,28.33,5.41,111.3
67,35637,541430944,0,1570,0,3786653,365396147,461338498,224442,25.23,5.34,111.2
68,24195,655906461,0,341,0,4921481,414682763,602561705,319673,25.1,5.13,110.7
69,15292,440003533,1835008,662,3584,3226458,288496798,407092270,191134,28.36,5.24,103.2
70,13660,465801305,0,714,0,3693793,313744855,447891654,273885,31.56,5.19,102.7
71,124488,561728827,0,5831,0,3911325,385081183,519440606,264668,26.66,5.41,103.2
72,46484,635923919,0,1263,0,4657481,385324600,563211335,304202,28.17,5.31,103.2
73,9578,656576057,0,242,0,5342772,418969574,613046529,342200,28.42,5.11,103.7
74,65777,564110233,1990656,600,3888,4523016,350703788,513848709,296887,33.28,5.31,103.8
75,13077,401017234,0,331,0,3240933,277575335,382779387,210481,30.18,5.13,111.5
76,126234,845496143,0,8747,0,6708770,586307070,772834594,415535,29.62,5.38,103.6
77,47215,503302295,0,493,0,3835615,305001912,422408933,228655,26.53,5.32,103.6
78,17781,491022053,1560576,714,3048,3662383,308558959,444159587,244015,25.82,5.23,103.4
79,16262,598965570,143360,937,280,5166541,402513363,574780577,335927,35.54,5.12,109.9
80,7079,611593017,0,439,0,5007003,378079858,571070955,300607,27.0,5.1,109.4
81,147790,631886768,0,8989,0,4977166,454156432,585825954,302515,27.93,5.5,102.2
82,18133,383872385,0,1013,0,3003009,230393311,355958864,201805,29.45,5.28,101.7
83,22200,752681238,2019328,1228,3944,5761891,490344550,682830033,391667,32.59,5.29,101.7
84,22356,605061596,172032,635,336,4816401,399993204,550898380,355512,30.72,5.21,101.2
85,5525,558794456,0,255,0,4320302,371538661,516714528,270561,26.48,5.06,101.2
86,145606,723243633,0,7291,0,5521336,485881503,664718816,371867,28.96,5.44,101.1
87,22530,484970091,831488,719,1624,3670045,307685642,437486147,223134,25.26,5.3,100.6
88,24320,560855585,757760,847,1480,4506829,328565818,470394875,300352,33.44,5.32,119.8
89,16655,490641685,28672,191,56,3432341,313064053,433135764,212432,25.53,5.22,108.2
90,14064,551048089,24416256,292,47688,4328587,340259478,487961836,259067,27.09,5.14,107.6
91,135610,793406282,0,12163,0,6245505,545177731,742603795,462953,29.92,5.48,107.2
92,18278,413847021,1589248,1054,3104,3288870,260039567,401016725,211391,29.7,5.39,106.9
93,26859,624000062,430080,2216,840,4989856,427970227,578521694,368457,35.02,5.14,101.6
94,7800,587733808,28672,402,56,4538748,378369298,555793485,322101,26.76,5.14,109.1
95,48802,604877531,172032,1165,336,4796602,385130087,584027938,341399,27.92,5.1,108.5
96,128147,794311119,0,10632,0,6270978,535466615,739288411,399641,30.47,5.4,107.9
97,15358,268532795,1531904,1935,2992,1760550,170069935,251325287,113374,31.77,5.48,100.2
98,23800,755405706,0,1264,0,5900177,508829456,708174401,383487,27.78,5.17,100.4
99,3593,455325107,0,223,0,3714217,285820139,440543888,252442,29.55,5.05,100.5
100,12458,647654453,114688,355,224,5350674,420343226,608261943,338575,28.63,5.1,100.4
101,127856,658978528,1277952,10205,2496,5067011,445691862,533237767,257843,27.54,5.51,100.1
102,51739,668904319,712704,1443,1392,5708363,453854735,611276009,346173,35.31,5.43,100.0
103,18409,472257196,0,803,0,4063581,308316850,452558131,272883,29.06,5.11,105.7
104,22285,575949077,0,2256,0,4222048,353503411,524895395,252251,24.72,5.14,125.8
105,12172,571438907,172032,1084,336,4386899,354131118,539930422,297394,27.07,5.15,106.6
106,132885,528657632,1589248,9188,3104,3743459,373265393,474317283,210549,30.68,5.47,106.6
107,37886,618579156,0,1347,0,4776494,410047660,569804792,327030,32.8,5.32,106.0
