,LLC-store-misses,bytes,LLC-load-misses,cycles,LLC-stores,ref-cycles,instructions,LLC-loads,blocks,pkg_pwr,ram_pwr,power
1045,30971,0,481726,508521984,208978,556473536,406897699,4167216,0,42.68,7.25,135.6
1046,14651,0,124170,347945750,152806,382973284,265864556,3083693,0,42.48,8.26,135.6
1047,13321,0,255915,407067057,175209,410723996,271482149,3177683,0,42.29,7.61,135.7
1048,4878,0,278622,256406573,95266,276045345,188366726,1701700,0,42.4,7.42,135.9
1049,15363,397312,159676,361179241,158715,405371736,263489979,3132603,776,42.06,7.68,135.8
1050,20055,0,370947,452089429,183009,501612280,370927269,4041099,0,42.46,8.25,135.7
1051,10879,0,273147,350328880,167564,454301786,293936690,3556483,0,42.56,7.63,136.0
1052,8493,0,206318,340966973,120611,379233068,251305579,2848475,0,42.45,7.36,136.1
1053,9145,0,290961,328795159,142910,346838761,238737106,2525802,0,42.56,7.8,136.0
1054,12191,167936,344315,436755007,172466,469773270,342276754,3527547,328,42.39,8.39,135.9
1055,24923,0,374316,387653208,177020,458721192,314326508,2953064,0,42.58,7.57,136.1
1056,4362,0,283090,422319154,192389,462157307,315514232,3338809,0,42.36,7.25,136.2
1057,8644,0,245293,291081486,109337,313245878,214458323,2193071,0,42.66,8.3,136.1
1058,14563,0,225533,350459342,145254,387066570,256689664,2803040,0,42.29,7.57,136.1
1059,14468,167936,239490,406929128,181547,444720690,301048486,3211274,328,40.51,7.24,136.3
1060,20461,0,177166,281773161,107422,332598910,267408727,2517205,0,42.1,8.34,135.9
1061,13718,0,389304,468162127,198899,576284911,361807348,4473886,0,41.69,7.12,135.9
1062,11214,0,105900,243655845,110010,275458424,186243443,2123360,0,42.61,7.08,135.9
1063,21435,0,158605,484657951,207526,517008238,348906990,3825924,0,42.97,6.69,135.8
1064,10076,110592,222061,350120719,158291,361875041,242568528,2712061,216,42.95,6.69,135.7
1065,18396,0,281986,388447792,187712,438814456,300909023,3538481,0,43.05,6.6,135.5
1066,13470,0,175174,382939639,185582,450388246,281162927,3179783,0,42.75,6.55,135.4
