,LLC-store-misses,bytes,LLC-load-misses,cycles,LLC-stores,ref-cycles,instructions,LLC-loads,blocks,pkg_pwr,ram_pwr,power
0,201,0,33704,246614987,77401,309954960,175424036,1888885,0,25.26,5.6,114.3
1,3991,1515520,128573,645701155,237071,721242788,484898464,4829064,2960,26.85,5.27,96.2
2,3532,0,16717,484180633,203951,521848389,352055320,3690342,0,27.13,5.25,101.3
3,272,0,6324,350631132,134689,400430646,234899560,2539655,0,24.13,5.14,101.4
4,5967,0,119758,568901090,239828,613966456,412955333,4113659,0,27.33,5.31,101.4
5,1215,0,13938,425677875,132121,473352407,303397554,2707407,0,23.78,5.19,100.9
6,47,110592,4996,280188219,110559,329013626,204879148,1908930,216,24.11,5.12,101.2
7,108,0,1631,359437014,130593,421098064,238985279,2833040,0,25.11,4.96,100.7
8,155,0,7321,446178559,171677,509803587,304656195,3516651,0,23.91,4.99,100.2
9,6975,0,81531,469210755,161088,502591989,362532495,3088706,0,25.67,5.3,99.9
10,432,0,11516,454004140,195524,516636728,317040296,3322639,0,24.1,5.07,99.6
11,65,110592,1988,349597504,148811,385138905,232107124,2559598,216,24.48,5.02,99.6
12,467,0,6849,360701733,135864,414081802,242125878,2878304,0,24.14,5.06,99.4
13,511,0,2651,447747729,175658,479233002,286095475,3060188,0,24.33,5.02,99.0
14,7025,0,85137,459437395,181069,496977742,337279378,3566890,0,25.97,5.32,98.8
15,1802,0,16178,416612623,147255,435678074,281208046,2907276,0,24.79,5.16,98.7
16,7386,110592,75848,498284243,178595,574532449,386082872,3852390,216,24.42,5.27,98.9
17,1965,0,34244,461217088,150052,490385875,313694912,3289241,0,25.51,5.27,98.8
18,1665,0,50027,374868890,146959,420863193,273826381,2515687,0,24.45,5.17,98.6
19,4784,0,71445,658819146,218047,719709734,480438774,4899744,0,26.22,5.38,98.8
20,551,0,9620,348814811,134559,389022428,254711347,2790948,0,25.08,5.17,98.8
21,303,311296,5970,405142654,176986,462684223,271622075,3264699,608,24.96,5.06,99.2
22,270,0,7027,385883855,132600,492844021,312871268,3457301,0,24.11,5.05,99.0
23,7939,0,109081,361860071,139182,419133506,290697359,2593826,0,24.77,5.41,98.9
24,17048,0,126003,516468624,233779,612952904,443750396,4114609,0,27.64,5.48,98.7
25,3589,0,59384,481880420,200915,571856101,355252527,3930878,0,24.59,5.27,98.7
26,5869,798720,88053,404848900,154496,466399414,317763342,3036402,1560,24.98,5.29,104.9
27,760,143360,17500,364304067,131685,430704764,263033255,2917443,280,23.63,5.15,98.0
28,657,28672,14141,409592956,154004,443049880,261600998,2809995,56,24.02,5.07,98.0
29,10656,0,174248,427713798,203049,519811437,375718896,2931287,0,25.79,5.73,97.7
30,3931,0,148631,512414723,202898,549415766,360331420,3672674,0,29.54,5.73,97.8
31,5628,25178112,128424,375854283,155212,450837211,312625771,2812295,49176,24.77,5.37,106.5
32,764,630784,10559,380629192,160147,435375377,264644110,2858568,1232,24.96,5.18,106.1
33,201,0,12408,453814893,188795,500894878,307867508,3469629,0,24.64,5.1,97.8
34,5868,0,75460,501991674,224017,558475257,371130925,3435876,0,26.71,5.36,98.0
35,290,0,13414,352113813,132266,429180968,250564132,2697438,0,24.41,5.15,98.1
36,5187,139264,63316,382887956,178678,430427774,281764238,3250840,272,37.29,6.5,98.5
37,5810,0,159708,703267748,305555,776913872,532166272,5429369,0,28.63,5.31,98.8
38,564,0,5636,338239787,150949,374359601,234841225,1858807,0,24.84,5.2,126.9
39,3750,0,71599,454709328,164282,558030172,348841034,3651371,0,24.98,5.25,102.7
40,373,0,10244,366813141,167104,376902842,236276712,2662534,0,24.76,5.25,96.4
41,438,655360,100638,396790805,141675,449828907,320028142,3296618,1280,36.53,6.21,96.8
42,8751,0,111186,512321969,173136,559748565,391821439,3773495,0,25.55,5.38,97.3
43,82,0,11446,258159630,94518,341719543,169913618,2053961,0,24.22,5.16,122.2
44,5959,28672,72815,527705841,198446,584096779,384597570,3770379,56,24.6,5.3,98.9
45,1792,0,16175,415121224,178012,455141853,281103992,3212161,0,28.16,5.5,98.7
46,7155,339968,71862,480171598,233884,576850073,425267253,4355902,664,40.38,6.53,98.6
47,792,0,21729,329799257,147623,420780762,259067440,3018479,0,28.69,5.4,112.3
48,139,0,5284,393846367,157587,415337099,243221911,2744026,0,23.83,5.09,129.1
49,8392,0,60283,386264629,182178,431709547,295384937,2685226,0,24.77,5.29,101.9
50,370,0,45879,554718331,224949,599920431,378463284,4091325,0,25.89,5.16,95.8
51,126,282624,3341,381735314,169314,427876102,255610288,3069764,552,25.48,5.01,96.2
52,87,0,1741,403489816,165233,450245827,273742378,3297000,0,25.63,5.01,101.6
53,413,0,7617,341636451,192092,376195485,213562606,3290420,0,38.94,5.46,101.2
54,10613,0,138357,511013317,341739,551519494,358365133,5174129,0,40.33,6.79,101.3
55,1609,0,35891,532068997,368706,569058930,331918611,5532142,0,40.39,6.92,128.2
56,2932,110592,26137,406167257,290199,434043562,250947726,4357973,216,40.37,6.8,128.4
57,644,1063936,19300,510097231,364368,533696891,301678438,5405522,2078,40.4,6.92,128.7
58,5341,0,37502,313073547,211884,375926211,215136290,3338188,0,40.39,6.89,128.8
59,11641,0,193008,618247220,401601,677516754,419357175,6525482,0,40.38,6.92,129.0
60,1801,0,47318,668876366,376690,657036832,840435616,4537223,0,40.41,6.83,129.2
