,LLC-store-misses,instructions,ref-cycles,LLC-loads,bytes,LLC-load-misses,blocks,cycles,LLC-stores,pkg_pwr,ram_pwr,power
460,9117,184287396,213770205,1202128,200704,404280,392,268025119,62943,43.98,10.76,142.2
461,13446,200012856,239493796,1155121,454656,422426,888,257968860,72287,44.35,11.08,142.4
462,9920,118138475,194155880,1442652,0,415435,0,133159248,36740,44.39,11.12,142.5
463,34436,211097365,274923503,1475668,0,844337,0,252550311,93343,44.07,10.79,142.5
464,21569,192298110,258717600,1367215,0,447784,0,289557741,71230,44.09,10.86,142.6
465,17823,128976844,182601304,1218782,0,515906,0,203422390,68433,44.21,11.01,142.5
466,10342,164747457,222056645,1246236,167936,295344,328,206748766,54230,44.25,10.91,142.6
467,11432,148151184,243535978,1214475,0,601964,0,203864665,75010,44.11,10.9,142.7
468,5766,270375112,273066184,2088780,0,647495,0,347891019,75626,43.7,10.44,142.7
469,13192,230478005,285407487,1093458,0,700909,0,272554308,53990,44.4,11.12,142.7
470,17401,137239471,196132296,1360847,0,512579,0,203189310,63244,44.24,10.96,142.7
471,14302,194283498,253550734,1398724,196608,497753,384,244428733,70296,43.85,10.63,142.7
472,14180,179881122,206070796,1387980,0,360987,0,229698331,63998,44.21,10.96,142.7
473,29327,185676615,336149116,1553310,0,835746,0,282521051,128834,43.81,10.54,142.7
474,11151,118317096,135369236,1034443,0,255512,0,173382057,59677,44.08,10.85,142.6
475,14276,226903116,274160159,1816852,0,621237,0,301869998,93596,44.1,10.81,142.6
476,14739,184120313,256988214,1481066,167936,357462,328,254963798,111316,43.72,10.34,142.7
477,14653,257609681,314206396,2125544,0,304179,0,312223214,104043,44.07,10.68,142.8
478,17709,293880707,275007276,1567725,0,428760,0,337605228,94313,43.83,10.55,142.8
479,14127,152154829,195592438,1319769,0,431561,0,237090594,77447,44.33,11.02,142.8
480,7079,130804052,171166470,902104,26701824,333342,52152,174350181,41689,44.32,11.03,142.8
481,14123,169156592,201991198,1027742,454656,385044,888,278660903,80069,44.32,11.04,142.8
482,19928,191633563,280059374,1865721,0,448761,0,258870433,65924,44.19,10.9,142.8
483,11443,262382265,295589977,1367379,0,722974,0,308304188,49819,44.11,10.8,142.9
484,20320,217138481,271954217,1841946,0,361578,0,267287153,77801,44.11,10.8,143.0
485,13471,171554559,230895532,1622597,0,461867,0,199665314,88773,44.07,10.75,142.9
486,12365,158308636,210784478,1309953,167936,392809,328,157150272,81604,44.65,11.26,142.9
487,7817,151946834,177754071,789416,0,557860,0,179439998,38104,44.42,11.07,143.0
488,21244,287711798,353542030,2159866,0,690707,0,328041484,123407,43.88,10.54,143.0
489,12812,179617845,213331856,1194302,0,463228,0,204633035,41040,44.32,11.0,142.9
490,8530,179738629,203265848,1097872,200704,393850,392,227552162,67496,44.05,10.76,142.8
491,11137,167667765,222403512,1405655,483328,271337,944,249285486,55203,43.91,10.66,142.8
492,7730,210964789,264819567,1693221,0,587668,0,309136708,69649,44.05,10.74,142.8
493,15769,240385463,345698995,2361198,0,722060,0,313069011,87160,43.95,10.54,142.9
494,22114,198024337,264413052,1623864,0,458212,0,307644459,80346,44.17,10.83,142.9
495,22971,158304422,168156254,908571,0,285492,0,220435779,79506,44.32,11.01,142.9
496,14539,157736329,203660456,1315556,167936,360504,328,214665511,63526,44.19,10.77,142.9
497,17320,196901061,250489814,1523700,0,567920,0,229268537,76607,44.39,11.02,142.9
498,19761,163220245,260369687,1523805,0,515527,0,157591953,117912,43.77,10.5,143.0
499,15357,194049468,195764335,1507261,0,325771,0,231944207,81746,44.26,10.91,143.0
500,23280,144449131,241650524,1531782,0,476203,0,207679050,83456,44.38,11.03,142.9
501,16727,164174068,206472801,976889,167936,371868,328,219620040,69273,44.49,11.08,142.9
502,10937,149441008,189156833,1476449,0,336127,0,209800049,55358,44.18,10.88,143.0
503,11383,266633950,295246254,1531827,0,636204,0,304973958,99723,44.02,10.72,143.0
504,28130,169762694,231882352,1410530,0,542187,0,239539747,81702,44.31,10.89,143.0
505,9765,180412382,217007553,1075926,0,427347,0,199974500,58724,44.31,10.89,143.0
506,14495,198796913,185369288,1144106,167936,400893,328,232241761,57893,44.58,11.13,142.7
507,8352,180473980,231098891,1132434,0,450487,0,242697900,46205,44.37,10.94,142.4
508,28797,196243055,239187204,1594289,0,435213,0,243474065,85337,43.51,10.11,142.4
509,9227,271828275,367608246,2987343,0,348329,0,395214854,167056,42.88,9.63,142.5
510,11436,348658406,561732739,3352409,0,613824,0,505001369,183016,43.76,10.46,142.5
511,11085,192145277,267202046,1735918,27721728,648725,54144,272263766,71498,44.22,10.84,142.6
512,10135,165372120,247908898,1426223,0,491455,0,235286362,62680,44.37,10.87,142.6
513,7214,240769508,295773661,1473010,0,670490,0,299559964,50824,44.07,10.73,142.7
514,8695,232976329,257130693,1206533,0,608536,0,280267930,64287,44.12,10.83,142.8
515,12124,235663566,249378375,1596510,0,406121,0,267439289,100373,44.3,10.88,142.8
516,5854,148055380,229712896,1101698,143360,498386,280,237677294,60990,44.36,10.96,142.8
517,10950,176850601,220694063,1307258,24576,331887,48,243430385,45664,44.29,10.9,142.9
518,21347,228370154,286090581,1323577,0,547874,0,285651771,96001,44.03,10.69,142.9
519,7449,143561640,209531882,1056950,0,393784,0,213885508,42622,44.37,11.03,142.9
520,10904,138227130,166626480,1307332,0,502049,0,205772711,76545,44.39,10.94,142.8
521,17601,192926653,273890637,1577891,172032,422967,336,212254437,71413,44.37,10.95,142.8
522,13744,105288922,153791126,1069360,454656,277414,888,160050315,81989,44.42,10.98,142.8
523,11958,260536241,387758753,2791998,0,509069,0,478641140,117244,43.51,10.07,142.8
524,7680,201926855,255608867,1441159,0,459233,0,248540703,61935,44.33,10.92,142.8
525,13173,148948804,186266713,1142517,0,433999,0,211869405,56548,44.07,10.7,142.8
526,8652,150714131,207782828,1290886,0,311368,0,165717342,83847,44.33,10.94,142.7
527,10962,200934186,251830250,1402133,167936,514957,328,276969290,71616,44.3,10.95,142.7
528,29654,322834432,373846838,1825346,0,535059,0,341943875,68963,43.77,10.43,142.8
529,13812,200473957,267668570,1912608,0,555467,0,263340372,84663,43.97,10.63,142.9
530,11189,212412431,236108873,1871118,0,395215,0,289799070,79321,44.2,10.79,142.9
531,16934,152593160,205997442,968307,0,469601,0,156903754,42967,44.64,11.2,143.0
532,12801,134129364,233693594,973429,225280,481813,440,150790108,56162,44.59,11.16,143.1
533,33296,140834193,222120210,1781228,0,384716,0,195841770,60443,44.18,10.76,143.1
534,13802,155087034,172129849,1138482,0,556685,0,216538592,66876,44.53,11.07,143.1
535,6450,173813742,213357491,1286563,0,380020,0,240824909,28774,44.51,11.09,127.2
536,7218,117459401,111418501,920389,0,321339,0,152560369,56061,44.59,11.06,97.7
537,16644,124588309,208015879,1147985,196608,480522,384,173685922,67571,42.24,8.89,105.1
538,5728,340619672,346060749,1826602,397312,459610,776,374906011,57258,26.59,5.66,99.6
539,1096,213051265,267538410,1683801,0,81568,0,313578773,49430,24.33,5.61,116.1
540,1114,800278200,585593158,3256824,3072,58333,6,518407350,282587,26.54,5.67,134.5
541,8418,242178185,287393178,1724114,26382336,253796,51528,303550579,90735,24.72,5.89,134.7
542,6868,219618251,325453271,1701776,0,367973,0,249758241,58520,39.95,7.72,143.3
543,15715,161485885,239677598,1724489,5271552,421269,10296,195112265,92787,39.84,7.64,143.2
544,11720,137979188,158233429,945623,0,457473,0,128529358,47735,43.48,10.55,143.1
545,11070,167371975,199904648,1264173,0,515233,0,195331019,41533,44.03,10.93,143.0
546,46357,257255605,271898573,1498743,0,639237,0,289558623,81156,44.03,10.97,143.0
547,26676,146788849,221717339,1923303,0,431930,0,191360899,64116,43.85,10.77,143.0
548,23483,193083541,225418604,1279324,1228800,621543,2400,208972817,111102,43.76,10.7,143.0
549,16893,148553258,220923525,1623272,0,437390,0,210924117,102241,44.06,10.96,143.1
550,11470,166385755,191674152,1200358,0,557134,0,223628915,43516,44.22,11.06,143.0
551,16301,121894408,230060226,1377785,0,526997,0,164513558,49700,44.27,11.08,143.0
552,5292,163594249,200205069,902668,573440,467184,1120,225053802,29185,44.12,10.94,142.7
553,7616,265293269,284800014,1163561,368640,476651,720,290367561,71852,43.77,10.61,142.4
554,14054,195363513,268673180,1722326,0,497961,0,256542228,62352,43.68,10.55,142.0
555,18378,274905809,431087385,3434740,0,407330,0,356036965,166502,42.69,9.62,141.8
556,13267,304199275,488992303,2917354,0,312953,0,434174783,174749,42.83,9.58,141.7
557,18144,348559285,515099604,4422207,0,459521,0,512936957,210017,43.06,9.95,141.9
558,29665,238458394,365636858,2870729,368640,527522,720,366344163,225292,42.66,9.66,142.0
559,12357,211532944,355744291,2533308,0,470386,0,265610665,141550,44.12,10.87,142.2
560,5703,149751395,229555043,1312138,0,562022,0,221081103,58679,44.35,11.06,142.3
561,16347,148082446,181655715,1173110,0,381633,0,198316197,55684,44.24,10.92,142.4
562,9741,144948414,206775121,1026285,0,520296,0,154719874,76727,44.3,11.11,142.4
563,9958,256982383,291407927,1260045,167936,577353,328,301089809,85185,43.89,10.66,142.6
564,14105,224369185,213128291,1115392,0,412434,0,329774573,47732,44.14,10.94,142.6
565,9682,166720865,226385113,1200013,0,507002,0,229727750,78385,44.12,10.92,142.6
566,14462,171422035,235193967,1458269,0,371881,0,183130437,29097,44.1,10.91,142.6
567,8640,111596741,143941417,768077,0,295458,0,167378634,42202,44.07,10.88,142.6
568,15648,316618219,379451232,2064349,196608,649977,384,361717202,71858,43.82,10.58,142.7
569,9423,205747518,300547942,1713721,0,438299,0,259329365,80866,44.22,10.94,142.8
570,13279,153253257,250513065,1511672,0,578406,0,221444810,73370,44.17,10.88,142.8
571,9743,174501889,240765200,1312342,0,418551,0,266540513,66299,44.22,10.99,142.8
572,24550,164785164,194879407,1280695,26165248,390873,51104,193207289,50281,44.36,11.06,142.8
573,14403,241077583,295676954,1705952,225280,698531,440,277283195,51822,43.92,10.72,142.9
574,12285,156611365,209603059,1550912,0,528702,0,207860799,86515,44.14,11.0,143.0
575,12103,141922356,226620504,1510833,0,502420,0,162401884,73826,44.31,11.05,143.0
576,13629,175934935,205288429,867936,0,540814,0,212990034,56989,44.3,11.08,143.0
577,18505,156660049,183713306,1474567,0,392516,0,177487131,70885,44.23,10.98,143.0
578,21251,154721908,199769177,1364165,253952,667860,496,195487801,88606,44.01,10.85,143.1
579,6791,180369900,247470474,1460620,0,534602,0,231131623,48773,44.23,11.05,143.1
580,8334,196883121,214943291,1092151,0,568890,0,206420205,66579,44.12,10.93,143.1
581,11356,160120783,213478462,1352006,0,332385,0,224445832,53106,44.33,11.1,143.1
582,9609,133741623,164252321,778678,143360,523569,280,177184624,63678,44.34,11.14,143.1
583,11140,301812324,335617410,1903811,311296,605776,608,337201205,55122,43.92,10.79,143.1
584,18166,149806904,185319414,1623070,0,405628,0,144310613,119554,44.03,10.86,143.1
585,8732,137047675,103377476,735297,0,194148,0,202790608,45815,43.94,10.78,143.0
586,11372,158125275,191789126,1300873,0,405708,0,172095739,49954,44.18,10.97,143.0
587,5535,139913485,222488560,1384174,0,433785,0,191556683,50354,44.01,10.79,143.0
588,31361,212481173,313156962,1791131,368640,733535,720,175467217,126477,43.8,10.72,143.0
589,16173,171065081,181525895,1003005,0,386531,0,192238641,80871,44.05,10.92,143.0
590,16213,143895400,213382153,1308155,0,486573,0,163552000,85111,44.18,11.02,142.9
591,12428,143779288,227325452,1561870,0,505484,0,209142904,73572,44.28,11.07,142.9
592,13205,147269849,211167509,958877,0,461809,0,204546102,56074,43.98,10.84,143.0
593,19415,207711372,304519174,2073500,167936,449636,328,336276770,122064,43.74,10.66,143.0
594,7109,170067523,181665888,1089725,0,532971,0,204264466,58961,44.33,11.13,143.0
595,12104,143066926,209414202,1289610,0,399639,0,198086895,46682,44.13,10.96,142.9
596,8086,146316129,188781011,1063948,0,539418,0,209300688,103049,44.16,10.94,143.0
597,10679,146246222,219082783,1427229,0,403447,0,221955624,46729,43.83,10.51,143.0
598,12236,197291369,230977607,1240594,225280,560048,440,246616926,67748,44.09,10.92,142.9
599,4952,187200209,224168683,1216847,0,574114,0,233770163,56041,43.89,10.75,142.9
600,19748,148851016,192300807,1361746,0,385335,0,192634176,64692,44.12,10.95,142.9
601,16629,198507863,221466153,1311505,0,328610,0,255784201,68804,44.01,10.85,142.9
602,10176,176902995,249310318,1597611,0,553687,0,231657302,60162,44.21,11.05,142.9
603,36125,158146022,227553974,1373254,24698880,449677,48240,220020130,101972,43.98,10.77,143.0
604,12245,138089783,204105170,1276012,0,396404,0,200875322,82733,44.16,10.98,143.0
605,11797,146363033,219307742,1530364,0,755048,0,184821476,74363,44.39,11.19,143.0
606,9176,144049161,183127791,1023726,0,442788,0,211931643,57473,44.35,11.15,143.0
607,10654,118378470,194061467,1214291,0,432906,0,174173252,60583,44.18,10.97,143.0
608,13070,182859842,225472833,1263824,311296,438667,608,311734688,92008,43.82,10.57,143.1
609,15372,176576195,263872200,1521922,0,612991,0,237396321,91603,44.19,10.94,143.2
610,15770,182542908,224149653,1046939,0,434159,0,250603080,52109,44.25,10.98,143.1
611,15728,173459062,241018047,1259575,0,441194,0,178971018,60133,44.46,11.17,143.1
612,13795,138413719,149354379,935998,0,433124,0,190145157,55272,43.95,10.77,143.1
613,17403,255520091,327682128,2130674,339968,602299,664,240390870,88905,44.01,10.79,143.1
614,13382,173420832,222297594,1126105,0,572512,0,221242487,78180,44.14,10.98,143.1
615,7481,166015549,209796141,1284542,0,531011,0,196268986,40999,44.34,11.11,143.1
616,8633,138218610,162052800,1049872,0,331650,0,200737707,63752,44.02,10.74,143.1
617,16464,201084318,279170807,1590444,0,501122,0,243904924,67668,44.21,10.93,143.1
618,27784,157687135,256938915,1533179,512000,659139,1000,257273321,95632,44.18,10.92,143.2
619,16950,205255630,242059034,1319609,0,485175,0,265318431,58294,44.35,11.06,143.3
620,9226,176334560,262001355,1297353,0,430324,0,228292161,51802,44.38,11.16,143.1
621,5200,142735584,172373795,1096533,0,431199,0,208939035,44156,44.4,11.2,143.1
