,LLC-load-misses,ref-cycles,bytes,LLC-store-misses,blocks,LLC-loads,instructions,cycles,LLC-stores,pkg_pwr,ram_pwr,power
76,16734,524482714,0,818,0,4124153,319810298,501434859,242001,26.29,5.15,108.7
77,182318,717493893,28672,7931,56,5406861,529554732,694479006,332545,31.07,5.55,102.2
78,50281,712738962,0,687,0,5891912,479970073,675262228,335912,30.47,5.34,102.3
79,10818,650143174,802816,546,1568,5384484,413441836,622302097,356319,29.08,5.17,101.8
80,6438,435708720,139264,326,272,2954415,292241391,382614707,172804,25.14,5.11,101.7
81,7437,583325520,0,377,0,4663757,347227108,532194693,285316,26.94,5.1,101.8
82,162252,661142706,0,7448,0,5072948,455405451,619023370,285992,28.54,5.55,112.6
83,22060,516685385,0,736,0,4318190,317540703,493764797,256412,26.68,5.35,112.6
84,140992,667075629,0,7327,0,4857218,487020723,610324105,317253,29.61,5.46,104.6
85,42046,518122409,139264,1010,272,3966089,331417771,473790776,245335,25.93,5.32,104.1
86,7099,405005088,0,458,0,3085048,259534333,374212635,179010,25.44,5.13,103.7
87,16153,559734395,0,1275,0,4283377,359841976,546661757,241050,25.96,5.19,104.0
88,138838,644766207,0,7283,0,4760587,440754037,581165949,299437,28.48,5.43,104.2
89,16952,560276828,0,494,0,4013103,346837143,530987098,266549,26.2,5.23,104.5
90,12440,604358650,139264,616,272,4672815,376872339,566997775,271099,24.52,5.19,104.0
91,7595,490541643,0,482,0,3635019,325674528,476727469,191371,25.63,5.18,103.5
92,138522,673887820,0,11175,0,5010857,481898663,646260780,332572,28.67,5.55,103.2
93,82746,668369072,0,10099,0,4357030,484565130,630765086,296872,27.17,5.5,103.6
94,23100,481684192,0,2223,0,3663586,306975159,430108894,195141,26.64,5.4,103.4
95,114785,497618332,139264,6279,272,4082787,337068110,422801178,261321,38.93,6.54,102.9
96,217359,835516867,0,6289,0,6759542,590897067,762450689,418058,31.48,5.65,102.4
97,137759,717242616,0,4504,0,5768821,444915791,555163262,302204,28.54,5.59,108.4
98,23426,616478450,23830528,3006,46544,4559033,366755128,548272568,295870,27.31,5.32,108.0
99,118113,630326760,0,11018,0,4411577,458266185,612399900,282845,27.4,5.48,107.4
100,15025,612950586,368640,2513,720,4848828,387799069,554999445,277723,27.24,5.17,130.7
101,18269,637944034,0,958,0,5145496,414233346,603817269,338054,29.58,5.25,109.5
102,17854,465947488,0,2546,0,3724802,302204604,436044328,234902,34.92,6.06,109.0
103,122508,750017591,0,16831,0,5781101,551694939,732081917,425328,33.1,5.81,108.5
104,129307,598904124,0,4714,0,4752466,444399695,560685279,300307,40.26,6.67,107.9
105,119367,540290851,167936,4097,328,4515531,397613833,480075255,282947,35.09,6.13,107.6
106,104628,555255739,0,1339,0,4140432,389622200,531416514,207754,34.32,6.18,107.7
107,199562,800028015,0,10557,0,6604154,610176074,751772256,454444,34.2,5.81,122.0
108,20695,542941671,28672,1827,56,3808712,336587634,498039598,197812,25.08,5.3,116.5
109,67694,597825501,0,815,0,4861390,389739773,563465565,309193,36.86,6.3,131.0
110,52262,467884761,1716224,1146,3352,4259224,331710818,429795523,262061,39.18,5.99,117.5
111,31366,614674886,0,597,0,5155449,412924155,584662916,316957,27.43,5.25,118.0
112,138277,750590071,0,7933,0,5914511,534734145,634379919,301491,32.92,5.9,117.5
113,155768,541918153,28672,14188,56,4708218,352926547,493555450,277083,40.55,7.34,99.2
114,136644,517470862,0,8670,0,4427183,373759847,486119520,260625,35.93,7.15,128.3
115,54251,651706582,865898496,881,1691208,5219631,442823702,596437618,313513,26.67,7.05,127.8
116,30801,562740740,1202659328,1087,2348944,4282820,377104962,518892490,253266,28.91,7.11,103.8
117,50436,647444168,1377353728,1656,2690144,4981638,469601644,602891985,299842,30.93,7.14,119.8
118,37795,596679355,1375469568,1350,2686464,4510886,422674109,541673447,278783,29.62,7.14,132.9
119,20566,633601089,1172832256,1098,2290688,4919580,401481334,587228588,291548,28.64,6.99,121.9
120,21169,623977874,1363308544,1437,2662712,4662585,427493379,573062364,316410,29.56,7.14,106.3
121,51962,381045612,1120927744,6537,2189312,3025305,274634146,351765783,176790,32.72,6.12,112.6
122,23422,599075983,4653056,570,9088,4725475,363466258,547498649,290149,27.75,5.31,113.0
123,10321,659101657,0,535,0,5036635,414990686,595529829,303160,25.58,5.18,112.8
124,3641,514453268,0,396,0,3965970,316718444,434402101,221093,26.04,5.16,112.8
125,31469,528120635,0,428,0,4256334,338163291,503807231,254201,26.56,5.13,112.8
126,28953,423913596,0,7454,0,3458557,261645286,389457855,208289,31.14,5.88,113.1
127,322685,703050614,358653952,5904,700496,5731089,448528282,625879361,347010,32.54,6.44,104.6
128,290811,629606564,585125888,7274,1142824,4940967,398220059,565478807,301690,30.7,6.31,104.0
129,262051,615331454,555180032,8792,1084336,4826073,383575149,551120043,298250,30.97,6.35,103.5
130,211602,378060163,565182464,4192,1103872,2930058,241297901,347980960,192247,33.12,6.41,103.6
131,386417,693416371,572522496,11557,1118208,6203260,456123952,624175644,361176,33.39,6.35,113.7
132,210886,614786359,567648256,16710,1108688,5015689,402339604,588183519,324416,31.53,6.34,114.1
133,171707,514272899,557842432,12127,1089536,4158573,333931155,472324676,270546,32.38,6.35,114.3
134,284380,654650627,572522496,9067,1118208,5052242,411887105,584677705,317124,30.63,6.33,114.4
135,266573,480485300,587202560,7816,1146880,3487910,299557205,453269931,224200,30.78,6.28,115.0
136,231913,634074211,565211136,16576,1103928,5162543,410230526,590674451,322129,32.26,6.34,115.4
137,301337,566398974,526610432,913,1028536,4100293,370076675,530970342,261300,29.57,6.43,115.5
138,246963,511015242,600834048,6467,1173504,3985193,327695368,473729765,212511,29.1,6.37,115.7
139,220056,669719277,594599936,6932,1161328,5566374,434555093,617991315,348592,34.16,6.54,115.5
140,189934,552437512,486199296,4063,949608,4808413,367682473,530246681,299209,33.39,6.29,115.3
141,260977,636337626,580497408,7392,1133784,5130911,430878338,591087698,301156,31.22,6.34,115.5
142,328442,499967570,596140032,1973,1164336,3809849,328166947,449905553,197168,31.03,6.43,115.1
143,336923,760634537,551751680,14218,1077640,5712750,605408397,644342613,301201,34.74,6.42,114.5
144,288255,584152765,554360832,7331,1082736,4811565,392125474,547147539,289893,32.03,6.36,122.5
145,270608,561540735,579862528,12216,1132544,4569707,368188823,535255870,261631,30.19,6.36,121.8
146,201899,494003481,514920448,11794,1005704,3712113,325192455,494142938,224015,30.01,6.36,115.7
147,175741,655403933,565182464,9922,1103872,4999229,440311309,608622777,312767,30.64,6.31,115.8
148,192748,609479069,583262208,10549,1139184,4591890,399712325,561117312,277114,31.05,6.22,121.4
149,253335,488705667,392458240,3423,766520,3665182,323279032,466723784,204765,30.19,6.34,120.8
150,165411,440565449,587202560,6168,1146880,3601009,290699270,416711745,208544,33.32,6.33,113.5
151,169960,744304186,579862528,8799,1132544,6229530,498903906,684589660,376333,30.33,6.03,113.4
152,150793,686453721,213909504,5533,417792,5269360,427880226,573686956,286036,28.76,5.66,113.4
153,24350,611663908,372736,863,728,4562274,371253521,532016568,289046,27.37,5.29,113.6
154,7885,475636886,24576,159,48,3513152,306743861,459960463,218774,25.41,5.07,113.6
155,15670,617784925,0,932,0,5103625,385407602,523403066,281167,31.78,5.28,114.1
156,16766,467800295,28672,218,56,3676566,301910101,432925833,188293,24.92,5.11,113.7
157,136814,664391426,0,7474,0,5113373,447565148,572388681,285280,28.91,5.48,108.0
158,23876,423877076,483328,196,944,3620791,280047626,391037335,215302,28.43,5.33,107.4
159,18605,648705065,30744576,555,60048,5269326,413930711,582475653,299300,27.16,5.13,99.4
160,10147,522130988,0,551,0,4140518,332032071,511604758,267929,28.74,5.53,113.7
161,188124,562700671,57671680,6206,112640,4475229,375556850,530237476,273456,33.14,6.38,97.8
