,LLC-store-misses,instructions,ref-cycles,LLC-loads,bytes,LLC-load-misses,blocks,cycles,LLC-stores,pkg_pwr,ram_pwr,power
0,190,163495295,245445611,1462447,0,22971,0,216355135,48772,25.11,5.62,98.9
1,8014,528673137,831405136,5729877,2662400,145672,5200,692816370,262799,27.59,5.42,109.6
2,69,323201596,508866380,3767639,114688,11242,224,464559646,195781,27.17,5.3,93.7
3,11525,503851796,624866845,4220365,0,169535,0,560913380,229962,26.68,5.52,93.6
4,13885,542895965,795457211,5841770,0,215838,0,659073102,386810,33.84,5.88,93.5
5,24629,456437017,666376260,4729282,0,69924,0,613534719,320531,33.43,5.74,93.5
6,13647,425077877,499603008,3548970,1142784,267876,2232,443568106,181050,34.14,5.78,93.4
7,6817,469250708,742464253,5453570,0,75373,0,648253370,268550,25.46,5.49,93.4
8,14849,369079922,565211641,3591796,0,134216,0,500775086,233045,26.25,5.5,93.3
9,922,296610683,490272471,3158356,0,27168,0,423941999,203232,25.44,5.36,93.3
10,4316,379534721,550173202,3740018,0,111045,0,442765117,177694,26.03,5.41,93.3
11,597,350580759,553572071,4013585,167936,11019,328,543380764,245381,26.59,5.22,93.3
12,440,279722942,457114455,2974645,0,10659,0,405596613,160830,25.4,5.25,93.2
13,6439,460815154,732387065,5341970,0,136878,0,643685558,278535,26.39,5.47,93.6
14,1410,342797582,565529350,4224831,0,18498,0,524116456,231505,27.01,5.31,93.6
15,330,212648017,355673150,2296900,0,4541,0,327072663,114512,24.35,5.16,94.0
16,552,292654981,480197564,3358817,196608,4584,384,440576149,188806,25.63,5.08,104.6
17,2134,387274376,616888300,4230822,0,9046,0,496897799,220979,25.67,5.15,104.3
18,6800,346854791,498342841,3094409,0,131678,0,463647090,180095,25.09,5.44,99.1
19,531,283908647,456413059,3241072,0,13040,0,422304897,177197,25.07,5.25,109.3
20,702,301329502,506735406,3414842,0,10257,0,451263038,158632,24.1,5.07,119.7
21,232,230194151,366157311,2426227,139264,6006,272,363165201,135874,24.56,5.11,119.1
22,1293,316462819,509009825,3813294,0,14881,0,459782493,195143,25.84,5.17,118.5
23,12779,405400450,586481345,4327107,0,79614,0,508119771,217759,27.65,5.37,98.0
24,337,355740360,581654680,4056336,0,23670,0,476420427,215045,26.56,5.4,98.5
25,2865,341223714,553933103,3893904,0,70603,0,484406575,199450,24.17,5.3,98.8
26,563,275949668,436761610,3289456,167936,8659,328,397614995,161570,25.39,5.2,99.1
27,1842,245410096,420860219,2821750,0,11019,0,402618955,187148,24.96,5.22,99.4
28,18245,467094354,693177613,4930318,0,209712,0,616961337,314256,29.72,5.71,99.4
29,6418,443108753,673067614,4953139,0,82549,0,600839295,287573,29.14,5.48,99.8
30,1654,298433881,467880669,3363815,24829952,23895,48496,416743167,178814,24.04,5.21,100.1
31,4693,383592947,585644904,4082486,6131712,113714,11976,505831692,221063,26.81,5.45,99.7
32,1669,323838873,495348432,3321429,0,28628,0,435521425,192733,26.13,5.54,100.0
33,8280,389630226,587685309,3850391,0,123743,0,515500195,230708,26.91,5.42,99.8
34,1059,355883746,552231609,3734604,0,17685,0,489860287,214884,24.78,5.22,99.9
35,85,249985617,406360368,2761159,0,22212,0,324827876,134183,24.48,5.2,99.7
36,5664,344528430,482649673,3331082,1171456,49970,2288,453143672,192612,25.66,5.2,99.3
37,3530,299368724,495832519,3133154,0,24758,0,439241879,161511,23.59,5.33,99.3
38,14685,416952779,616662565,3912329,0,114696,0,576093258,278214,27.18,5.43,99.4
39,4226,296254088,491261074,3047507,0,19099,0,429568234,179601,24.79,5.26,107.9
40,259,256404402,399174225,2289592,0,17179,0,348700082,125584,23.65,5.12,98.6
41,3652,299596430,499323940,3387789,139264,5780,272,444436947,200707,25.45,5.12,98.7
42,447,375290219,585679712,3805492,0,52763,0,461754554,164822,24.86,5.22,98.5
43,7943,356656656,530881905,3268361,0,129268,0,491713044,237025,25.51,5.44,99.1
44,769,381142493,608763280,4533389,0,15967,0,569377085,256762,28.0,5.17,109.0
45,337,258904696,420976085,2768498,0,3408,0,397724955,177557,24.84,5.14,108.4
46,740,249775958,410789945,2723930,167936,6479,328,325936193,126567,24.03,5.11,99.1
47,462,283683307,475668292,3122190,0,11079,0,423044616,172704,24.1,5.17,99.5
48,6066,395094408,591554916,4081622,0,105815,0,526341896,214612,26.96,5.38,99.8
49,434,266393521,461403230,3213741,0,27432,0,375377218,162378,25.45,5.25,100.1
50,12926,430647791,639163795,4603797,0,50103,0,612989490,253300,25.0,5.23,99.9
51,733,224514118,351481602,2153915,139264,6364,272,340858312,98000,23.88,5.19,99.8
52,1691,280606957,453888239,2831550,0,20448,0,387588702,137971,23.61,5.23,99.8
53,5984,381320222,529564433,3711316,0,146439,0,463689530,174877,26.72,5.48,99.4
54,456,266287898,449904994,3278446,0,16997,0,403747410,182513,23.81,5.22,104.9
55,253,239590780,386108338,2782192,0,6155,0,348958900,153078,24.51,5.1,96.6
56,2711,206448270,333976942,2198545,167936,4946,328,313233265,99365,25.01,5.12,96.8
57,3487,428562293,647742755,4574590,0,23070,0,600432255,276999,27.97,5.36,97.0
58,13992,484009795,667972416,4222040,0,116137,0,623560225,264549,25.04,5.44,97.1
59,1221,265542702,404075396,2464169,0,27339,0,369727065,127227,24.35,5.33,104.6
60,7611,409827906,567022697,3973045,0,185080,0,530398633,209685,24.25,5.4,104.2
61,1068,246158828,378242432,2759856,21856256,9262,42688,371028236,151651,24.58,5.2,98.4
62,1221,215293791,367506142,2216356,0,15584,0,324186072,125046,25.07,5.26,98.1
63,6882,553079078,818850380,5420378,0,148865,0,770601263,343205,26.88,5.38,98.0
64,714,273064263,445145609,3235666,0,16735,0,414873142,185083,25.04,5.28,104.6
65,468,226273066,380083416,2667114,0,6986,0,339242510,134306,24.94,5.08,99.4
66,126,248714351,425030829,2985366,454656,4521,888,376260417,184062,24.49,5.09,99.2
67,624,359410631,588853970,4362510,0,12619,0,538493956,243977,29.34,5.22,98.9
68,3006,481104689,725751598,5222596,0,125518,0,629953921,322072,25.92,5.38,98.6
69,1393,286689395,463638644,3224860,3072,29628,6,438450798,184338,25.18,5.31,99.2
70,1196,990442336,848261907,5357377,0,32312,0,812243720,420243,30.91,5.49,98.9
71,1310,214901904,335288669,1899535,196608,23987,384,249739660,96388,24.25,5.25,98.7
72,1100,346767403,547685131,4002060,0,14472,0,513008343,217774,25.87,5.2,99.1
73,13545,402963435,584446057,3966850,0,101376,0,547455874,238068,27.43,5.36,99.5
74,1331,348179474,580126395,4330382,0,17897,0,533574339,245714,25.45,5.26,99.6
75,749,273956277,441674102,2932462,0,6625,0,387186173,173428,25.36,5.11,99.5
76,456,242119953,397401528,2532360,225280,4638,440,371456264,163564,24.17,5.06,99.3
77,2196,280517542,444949894,3161769,0,7178,0,376920056,160089,25.96,5.16,99.0
78,12860,537510880,729971629,5083105,0,215552,0,665132537,253417,25.89,5.5,99.3
79,3060,341727623,550444117,3713462,0,27814,0,516204111,233759,27.09,5.27,99.6
80,785,311260648,493994931,3455793,0,8507,0,448970827,199704,26.01,5.19,99.5
81,696,235932674,370061107,2375125,139264,9641,272,365537670,158627,24.07,5.13,99.4
82,1904,317005936,512372212,3157671,0,10975,0,466213833,149279,23.86,5.21,99.3
83,6828,362717532,578330027,3829706,0,123517,0,501686366,224608,26.67,5.38,109.1
84,428,358842517,578377532,4265439,0,28444,0,512735463,223924,27.16,5.23,99.4
85,379,243102916,384776317,2566300,0,7491,0,359729019,157875,24.3,5.07,99.9
86,595,350520804,578341408,4095710,167936,8098,328,535605049,239752,25.03,5.08,106.9
87,2569,292717519,458561835,3184249,0,7407,0,417331762,174325,25.54,5.17,99.7
88,7055,346140636,502655262,3433512,0,107182,0,441393451,208963,25.42,5.41,99.7
89,1562,327270031,527238091,3265456,0,34715,0,506189158,184824,24.22,5.23,100.1
90,379,257087400,464859794,3132670,0,5794,0,368287272,159562,25.3,5.09,100.2
91,368,199859261,326578264,2155429,139264,3315,272,291824696,133285,24.37,5.06,100.0
92,1036,396274085,643038489,4654215,21389312,15338,41776,585243173,265095,25.42,5.17,99.6
93,10547,421106534,595252667,4040443,0,110066,0,459037220,196788,27.18,5.49,99.9
94,1271,310362943,474808114,3000317,0,15956,0,453366439,210968,25.23,5.23,100.4
95,428,296679326,484519730,3334413,143360,6656,280,422323677,175472,25.85,5.26,100.5
96,9600,388935795,580348478,4346566,1601536,234065,3128,526237271,236677,38.04,6.77,100.4
97,4627,486656932,611680886,3998910,229376,184610,448,521201500,236330,33.12,5.9,100.0
98,9587,466240441,692522634,5169718,0,123939,0,588779899,238344,30.0,5.59,99.7
99,17367,368500713,504441101,3540559,0,225230,0,428120818,162520,26.19,5.56,100.2
100,488,415409670,658999797,4826192,860160,26390,1680,625151806,257407,25.65,5.23,100.5
101,4501,266061198,402708471,2792703,196608,18562,384,339523239,141512,25.01,5.38,100.1
102,17925,411820361,622505826,4431861,0,134266,0,493419618,257388,27.9,5.6,99.9
103,8045,369177237,548774327,3567755,0,128540,0,474933457,200290,26.38,5.65,99.9
104,5610,416838495,602781525,3847984,0,86305,0,506999241,214275,27.41,5.51,99.9
105,3009,417426191,645852146,4211279,0,35475,0,601629845,236991,24.43,5.32,99.9
106,134,239375676,400492735,2657925,225280,7219,440,356622224,149739,25.23,5.2,99.6
