,LLC-load-misses,ref-cycles,bytes,LLC-store-misses,blocks,LLC-loads,instructions,cycles,LLC-stores,pkg_pwr,ram_pwr,power
0,40589,544191640,0,62,0,4992231,326324070,495201603,335271,30.46,5.52,114.0
1,11437,536625842,24576,110,48,5123961,342399301,505319392,343594,35.83,5.1,93.3
2,15841,1194097447,258048,188,504,11508490,761438187,1119168793,779264,32.61,5.03,93.3
3,4621,545976473,0,55,0,5259913,340633212,504778717,335390,35.13,5.02,93.2
4,57044,1093609893,0,153,0,10687200,683323389,1021624759,687695,33.93,5.02,93.1
5,12859,1163114026,286720,175,560,11380173,733467190,1087590566,767284,33.49,4.99,93.3
6,10009,493641805,81920,118,160,4667607,302209184,455560663,318956,34.65,4.97,93.3
7,128258,1495045000,3928064,31180,7672,13220950,1087393138,1386713589,861272,35.64,5.48,93.2
8,441482,930271643,0,38880,0,8012125,873340673,888648509,559851,38.18,6.15,93.2
9,105779,1329751522,0,17255,0,13333279,885107044,1233746573,859152,35.47,5.46,93.1
10,14712,529673422,0,1754,0,5248142,338144253,495099527,332517,34.94,5.27,93.5
11,223905,1518875374,827392,57440,1616,13863503,1159845927,1455097250,956361,38.57,5.81,100.0
12,272689,702557518,12328960,9701,24080,6408263,556975511,625484913,405663,38.48,6.07,99.4
13,441122,1663845866,0,37056,0,16110948,1203543816,1511022814,1017730,37.29,5.74,93.3
14,96687,599580653,0,25110,0,6033386,402073162,561918875,395424,35.77,5.85,93.2
15,325967,739482869,57344,16348,112,6927911,550180066,674451561,435257,35.95,5.37,93.4
16,92843,1294459865,397312,26977,776,12817948,839087948,1200969683,838733,34.74,5.48,93.4
17,27933,572110003,57344,760,112,5553867,365411855,536895905,380228,34.88,5.26,93.3
18,110250,1207544968,0,9808,0,12139508,802681429,1126027283,795652,36.17,5.36,93.3
19,222373,1221520194,0,5316,0,11527532,807241892,1128919928,770106,33.7,5.55,93.3
20,63435,582786802,0,270,0,5598788,368145690,540323061,373517,35.73,5.24,93.3
21,16386,1172835332,512000,255,1000,11499028,744168593,1109772889,773162,33.55,5.06,93.3
22,6416,446478246,57344,257,112,4464087,281897557,399360721,286853,35.4,5.03,93.3
23,48640,1036501813,0,653,0,10189056,656725483,990172829,675820,33.32,5.16,93.2
24,386155,1232198820,0,24772,0,11435434,883970619,1158173220,722413,34.31,5.54,93.1
25,234651,581018021,0,5436,0,5519983,468102889,556823430,341113,37.55,5.65,93.2
26,57291,1127947547,225280,2303,440,11028352,727777895,1068259994,749072,32.76,5.14,93.2
27,16781,986482133,57344,421,112,9530945,619298909,956591323,635929,33.46,5.05,93.2
28,132718,522277104,0,5954,0,4737727,365111533,480363304,293405,35.57,5.28,93.1
29,48681,979484356,0,2640,0,9690554,636896295,919822514,657112,33.77,5.15,93.1
30,21257,985435916,0,917,0,9642494,620097413,928933976,652105,32.53,5.06,93.2
31,97981,942373074,339968,5657,664,9096029,601684745,885247649,603627,35.24,5.29,93.1
32,124343,591823972,143360,1707,280,5983965,362184754,530625233,385133,36.89,6.02,93.1
33,49692,602041749,57344,3104,112,5909048,381583263,569880194,388798,35.35,5.44,93.1
34,165117,1157598385,0,11456,0,11084552,780112432,1092561127,733706,34.16,5.25,93.0
35,49456,1060639771,0,1497,0,10189684,672030124,971687720,666358,33.12,5.23,93.0
36,11973,506800647,942080,1107,1840,4892023,320965303,470545539,325191,35.87,5.43,93.4
37,149843,1229778715,28672,8546,56,11615538,823525188,1162418351,802246,32.92,5.39,114.3
38,82136,579516101,16605184,1674,32432,5549262,372130432,538539186,364208,40.12,6.49,114.3
39,149408,1174203341,57344,6085,112,11409294,799878552,1108577771,787368,36.43,5.81,114.9
40,28997,553801062,0,1508,0,4885673,357073549,527107727,374484,36.07,5.32,114.6
41,24144,1084825391,1171456,1177,2288,10612515,695808247,1040366564,734804,33.0,5.27,115.1
42,143412,1193340597,0,10985,0,10952861,783407761,1118758972,776958,35.82,5.5,115.1
43,20186,530715551,143360,190,280,5081910,318413660,479161043,322366,34.79,5.23,115.0
44,195041,1134695342,0,8453,0,10563574,770076895,1086935681,683519,34.96,5.57,115.6
45,71537,521084883,0,645,0,5097369,332396791,473841581,332870,40.18,6.25,115.4
46,188696,1280806332,282624,3290,552,12498882,867860680,1202901625,844096,37.81,6.07,129.1
47,63637,538393302,0,980,0,5165720,346775880,493096185,343141,40.05,6.21,128.9
48,50664,560182467,28672,521,56,5607750,366572633,532923794,374084,40.03,6.21,93.3
49,166689,1131491796,0,7681,0,11004074,790288154,1059670958,681501,34.35,5.61,93.2
50,34851,535239342,0,4272,0,5202080,352845007,505535197,337023,40.01,6.26,93.2
51,144882,1200996714,1028096,7554,2008,11867438,818285134,1137336602,805622,35.99,5.63,93.4
52,34960,1005475186,0,729,0,9790816,630140913,948032953,643360,33.66,5.26,93.3
53,100942,521466414,114688,10554,224,5029671,368992553,475611443,312248,36.29,5.37,93.3
54,37942,974768217,0,1569,0,9735451,623010252,921067865,633681,34.38,5.16,93.2
55,28126,969165146,0,4605,0,9561528,630267178,919742649,644197,38.82,6.12,93.2
56,53005,485474306,827392,680,1616,4948260,318046743,459554321,327838,39.85,5.99,93.1
57,73001,543854981,0,572,0,5427282,357861587,515179033,359243,41.3,8.39,93.1
58,740396,1138699776,57344,54510,112,10868951,739847861,1009936432,712438,42.01,9.24,93.0
59,131681,571062422,0,12173,0,5716905,359477359,540302841,378948,42.13,9.34,93.0
60,311624,622597697,0,16487,0,5913953,396741763,595271398,422414,42.07,9.43,92.9
61,174713,604291025,1200128,23878,2344,5848305,374493673,569410859,391498,42.11,9.35,92.9
62,171524,579837088,0,14146,0,5634648,365976594,551298346,381746,42.19,9.37,92.9
63,416841,1082287295,917504,23084,1792,10829446,687468067,1026248836,724122,42.76,9.92,92.8
64,208395,489450692,57344,6758,112,4922332,311018694,462933784,326929,41.67,8.96,92.8
65,228504,523210212,0,6432,0,5191473,332083405,486405886,348390,41.74,9.17,93.1
66,233917,607211416,339968,9860,664,5991660,376147864,565501960,392257,41.79,9.19,111.5
67,184770,536470810,0,11779,0,5283338,338364039,505561959,350768,42.24,9.74,118.7
68,252428,948763068,57344,27422,112,9671467,605764380,908852235,620689,41.98,9.28,118.2
