,LLC-store-misses,instructions,ref-cycles,LLC-loads,bytes,LLC-load-misses,blocks,cycles,LLC-stores,pkg_pwr,ram_pwr,power
0,59,139112308,190292586,859710,0,19628,0,156058232,10586,23.05,5.47,99.7
1,11975,357793800,438620543,2222563,512000,231297,1000,354369974,135190,23.19,5.56,109.8
2,1808,198703575,322183521,1239072,487424,15333,952,231143838,99044,22.34,5.21,93.7
3,4357,266099981,343943490,1447570,0,97395,0,297065293,98482,23.01,5.43,93.8
4,3965,159264119,237104843,1049698,1089536,14170,2128,156211433,82302,22.26,5.21,93.9
5,55938,527418373,630779534,3041125,4726784,213901,9232,523201487,157590,23.19,5.77,93.9
6,37315,492014702,551849012,2203343,0,163198,0,443000613,136715,24.86,5.86,94.2
7,42450,496324845,539866366,2292267,0,259744,0,399272205,103084,23.13,5.8,94.5
8,35360,650059821,700361078,2768097,2752512,275695,5376,496308259,119612,23.22,5.85,94.7
9,29849,509728190,556050091,2343994,57344,210882,112,440685499,139379,23.46,5.84,94.9
10,16765,218878017,313633098,1675941,7294976,208129,14248,272993122,70796,22.55,5.59,94.9
11,12484,550950806,591826177,2868501,0,582718,0,463162627,98145,23.47,5.72,95.0
12,12548,343533851,405414469,2064410,0,330344,0,332001684,87977,22.97,5.66,100.2
13,2504,192737612,272631225,1121868,0,116697,0,218974711,42931,22.42,5.38,100.0
14,226,144815557,254702075,1144342,0,15475,0,185202283,63650,22.13,5.17,99.6
15,13605,232511376,316913954,1440022,167936,95430,328,263266339,76293,22.62,5.35,99.3
16,5019,261878418,350688563,1668760,0,84106,0,287644672,81089,22.57,5.43,99.0
17,1466,153817139,278382450,1173116,0,23195,0,167852431,78413,22.37,5.29,98.7
18,333,134002981,205820304,997098,0,8942,0,172755759,58147,22.26,5.19,98.7
19,449,168437057,249002933,1107125,0,12665,0,205344494,56994,22.06,5.14,98.4
20,457,164027161,251913382,1096375,110592,21128,216,202633911,59506,22.23,5.3,97.9
21,15245,323689027,396390837,1670246,0,95910,0,319386415,127892,22.8,5.42,97.6
22,1512,193194952,272433751,1349554,0,41058,0,234844866,67162,22.12,5.35,97.2
23,539,143167752,217484398,819088,143360,11959,280,183965808,59164,22.28,5.37,97.0
24,7934,190568378,287598751,1388703,0,205633,0,209074019,86514,36.3,6.78,96.7
25,4313,271284843,337851338,2083213,770048,129476,1504,250143995,63116,24.45,5.35,96.4
26,8121,309557184,400400247,2472477,0,101269,0,239146024,104031,23.05,5.52,96.1
27,1871,200217312,351279501,1716588,0,47183,0,191291605,80126,22.35,5.4,96.0
28,8285,241014495,336640997,1677310,716800,61938,1400,230904759,76786,22.63,5.38,96.1
29,1751,128283974,219288652,1261362,28672,28200,56,123237614,57828,22.15,5.33,95.9
30,3892,174957622,257636924,1198597,196608,13212,384,215053229,56150,22.12,5.23,110.2
31,9449,231719431,316491235,1569281,0,102053,0,237110715,98344,25.12,5.69,110.7
32,9635,305470640,365862579,1838295,0,151311,0,309020209,112625,30.14,5.95,94.8
33,3053,241280823,347695468,1935392,57344,72096,112,271134844,96335,31.27,6.25,95.0
34,4766,283658443,334001205,1652087,28672,137354,56,297240176,112298,32.55,6.03,95.2
35,12215,252639975,332580685,1579505,454656,48453,888,274954739,104613,22.31,5.43,95.1
36,5327,359626719,421162759,2259312,0,139216,0,315655740,90078,23.21,5.47,95.1
37,1059,205249393,262815859,1410088,0,81227,0,192150918,106462,34.27,6.49,95.0
38,1761,194799937,235403848,1444302,1114112,258236,2176,194875100,56535,40.27,7.04,116.4
39,13521,348569482,323147949,1835979,24952832,513611,48736,271160730,87844,40.37,7.14,99.9
40,7830,247561470,270975081,1330284,199811072,304472,390256,230336737,61556,40.41,7.13,130.5
41,50075,744822730,796672604,4017003,0,559212,0,732227365,296305,40.17,6.85,96.4
42,7773,803637799,845358804,3854787,0,194152,0,798437962,271207,40.06,6.75,96.1
43,4958,644153262,724827895,3941736,0,156387,0,670873905,226207,39.95,6.96,107.3
44,4812,201774559,231972421,1490847,28672,315335,56,205888293,60298,39.9,7.05,132.1
45,7811,177390914,233350653,1262783,131514368,387964,256864,186410128,54911,39.89,7.01,132.3
46,9758,680173680,745534065,4006532,0,507243,0,683621465,218728,39.97,6.97,132.4
47,4558,558028521,617628234,3081258,0,92994,0,555429550,196572,39.76,6.99,132.4
48,11487,164834428,217785982,1141765,0,219942,0,194089005,80683,39.76,7.01,132.3
49,7343,131862034,182286956,1044287,0,221178,0,171970376,55721,39.84,6.99,132.4
50,8273,135309402,202749286,1020630,54558720,242580,106560,162980643,66168,39.83,7.03,132.4
51,17046,573673842,646752882,3197465,0,286085,0,570029658,200589,39.97,6.97,132.5
52,3533,176733662,261136110,1435820,0,256221,0,161417966,58324,39.89,7.02,132.5
53,3672,189911377,249267111,1368369,0,415278,0,173936214,36785,39.96,7.04,132.4
54,5494,141472107,231688880,1258817,802816,273621,1568,167057126,58224,39.94,7.03,132.3
55,7291,127769940,191435259,1060942,136159232,281341,265936,167022866,56010,40.12,7.07,132.4
