,LLC-stores,instructions,bytes,blocks,LLC-loads,LLC-load-misses,ref-cycles,cycles,LLC-store-misses,pkg_pwr,ram_pwr,power
123,60052,170884324,8695808,16984,980448,4808,241756833,143655788,2063,22.6,5.26,96.9
124,79705,211928843,8884224,17352,1112228,3072,295925552,260405121,733,22.51,5.14,96.8
125,70637,260833700,8605696,16808,1571682,87044,341654353,283294209,8074,22.91,5.47,96.7
126,85885,209692554,8560640,16720,1244753,7081,319481029,226565798,1643,22.58,5.31,96.9
127,69382,158921415,8372224,16352,885844,3873,228157146,196807906,779,22.44,5.21,96.9
128,46793,148866936,8560640,16720,849736,4118,213534493,187829427,352,22.57,5.23,96.8
129,70367,191914078,8486912,16576,1176591,2702,310603589,230329721,431,22.35,5.15,96.7
130,67494,232068423,9023488,17624,1570581,99278,314925065,185946356,9768,22.69,5.42,96.7
131,43072,154311250,8871936,17328,1141612,5843,252094139,159416852,413,22.7,5.26,96.7
132,50050,200203340,8335360,16280,1318147,16128,338341918,240350961,257,22.4,5.19,96.8
133,54220,142594487,8290304,16192,924827,2152,224056822,177190403,483,22.36,5.22,96.7
134,32871,135987582,9162752,17896,949300,1713,221571842,150418312,740,22.51,5.16,96.7
135,127186,329382581,9236480,18040,1561512,81907,403996021,373708386,8452,22.77,5.41,96.6
136,45121,159116861,8785920,17160,1100094,4944,264240160,202395442,258,22.54,5.26,96.7
137,51934,203776912,9146368,17864,1189953,7448,272304068,225726858,204,22.58,5.21,96.7
138,37563,225735435,8708096,17008,1152671,51818,280550016,209172436,474,22.55,5.3,96.7
139,55552,222027654,8736768,17064,1348031,5915,322166567,228536383,467,22.29,5.19,96.7
140,48829,237038129,8327168,16264,1514109,119061,317766463,226794287,1605,22.98,5.44,96.6
141,70189,171746562,8642560,16880,1288718,6401,308059664,164979636,966,22.35,5.23,96.8
142,65032,174165045,7770112,15176,1061233,7096,240809205,203674305,398,22.44,5.16,96.8
143,55098,159238564,8118272,15856,1006881,9654,216128208,148512374,153,22.3,5.18,96.7
144,33558,158114451,8499200,16600,1127040,2601,214815474,174112042,668,22.48,5.21,96.7
145,101691,314079085,7868416,15368,1606370,77535,401176606,303235156,7668,22.76,5.43,96.6
146,52243,171293454,8417280,16440,1100891,5619,230726513,183039759,582,22.47,5.3,96.8
147,30622,141895496,7327744,14312,1036854,3836,220564546,181019545,784,22.4,5.2,96.8
148,66813,241912538,8437760,16480,1134583,32821,308492635,272132342,1189,22.46,5.22,96.7
149,41396,150664899,7503872,14656,740914,2483,217954140,165395982,1484,22.47,5.2,96.7
150,111345,262706503,7802880,15240,1331458,102972,371280614,303228547,7107,23.12,5.46,96.6
151,43397,192529318,7512064,14672,1143190,10225,275097086,205410713,364,22.66,5.26,96.8
152,62751,181257802,7761920,15160,1176216,3254,284357927,237615094,491,22.41,5.21,96.8
153,31029,155699451,7217152,14096,844309,1300,224375669,173876113,468,22.47,5.2,96.7
154,51545,150884182,7626752,14896,718261,10096,224788720,178673932,654,22.42,5.19,96.6
155,115487,321938169,7135232,13936,1622986,92533,426706432,371987304,6912,22.92,5.45,96.6
156,47637,191943370,7446528,14544,1226220,9978,268016686,213946243,663,22.58,5.29,96.6
157,30139,166610675,7856128,15344,1007965,9909,225008824,135177404,587,22.39,5.27,96.7
158,60956,197755811,7110656,13888,1205516,4504,268567859,184635637,1153,22.4,5.24,96.7
159,57816,163386303,7819264,15272,849685,1492,219020905,139861298,716,22.31,5.19,96.5
160,87407,241052319,8343552,16296,1426409,125871,324215409,246724957,7883,22.93,5.41,96.5
161,63107,236740145,7880704,15392,1390314,10581,358450770,280835599,319,22.4,5.3,96.6
162,49373,181597200,7946240,15520,964210,2779,238329173,215875925,254,22.49,5.25,96.6
163,61485,151814080,8044544,15712,1153730,7339,269745800,159839229,210,22.46,5.19,96.5
164,52436,220195760,8294400,16200,1306429,1576,313762427,247386927,449,22.33,5.15,96.4
165,62236,244077584,7389184,14432,1550125,97139,330457547,250824457,8910,22.89,5.48,96.3
